Bus Voltage (V),Current (mA),Power (mW)
4.608,47.4,216.0
4.648,47.2,220.0
4.668,47.1,216.0
4.68,47.5,222.0
4.68,47.4,222.0
4.696,47.4,222.0
4.688,47.6,222.0
4.692,47.8,222.0
4.704,47.3,222.0
4.704,46.8,220.0
4.708,47.8,226.0
4.704,47.7,222.0
4.708,47.1,222.0
4.708,47.2,222.0
4.708,47.7,226.0
4.704,47.3,222.0
4.712,46.6,220.0
4.708,47.6,222.0
4.712,47.5,222.0
4.708,46.8,220.0
4.716,47.5,222.0
4.708,48.1,226.0
4.7,47.6,222.0
4.708,46.8,220.0
4.704,47.4,222.0
4.708,47.7,226.0
4.7,47.0,222.0
4.716,47.5,222.0
4.704,47.9,226.0
4.712,48.1,226.0
4.708,47.2,222.0
4.716,46.9,220.0
4.708,47.7,226.0
4.712,46.9,220.0
4.712,47.2,222.0
4.716,47.9,226.0
4.708,47.8,226.0
4.708,47.1,222.0
4.708,47.3,222.0
4.708,47.6,222.0
4.708,47.4,222.0
4.704,47.0,222.0
4.712,47.5,226.0
4.708,47.3,222.0
4.712,47.4,222.0
4.704,48.5,230.0
4.712,48.7,230.0
4.708,47.6,230.0
4.712,48.5,230.0
4.708,48.6,230.0
4.712,48.6,230.0
4.704,48.2,226.0
4.708,48.4,230.0
4.712,48.9,230.0
4.704,48.3,226.0
4.672,47.8,226.0
4.708,48.7,230.0
4.676,48.2,232.0
4.708,48.3,226.0
4.68,48.5,230.0
4.708,49.1,232.0
4.708,58.4,230.0
4.708,47.9,226.0
4.708,62.0,288.0
4.708,48.3,226.0
4.708,55.5,258.0
4.704,48.5,230.0
4.708,49.0,282.0
4.708,48.7,230.0
4.704,47.8,226.0
4.708,48.8,230.0
4.7,48.5,230.0
4.704,47.9,226.0
4.704,48.4,230.0
4.712,49.1,232.0
4.7,48.8,230.0
4.708,48.1,226.0
4.7,48.9,230.0
4.712,49.0,230.0
4.704,48.0,226.0
4.676,48.2,226.0
4.708,49.0,230.0
4.672,48.6,230.0
4.704,48.1,226.0
4.664,48.3,226.0
4.708,48.6,230.0
