Bus Voltage (V),Current (mA),Power (mW)
4.696,17.8,86.0
4.696,17.9,86.0
4.696,17.9,82.0
4.696,17.9,86.0
4.696,17.8,82.0
4.692,17.6,86.0
4.696,17.6,82.0
4.696,18.0,86.0
4.696,18.2,86.0
4.692,18.1,86.0
4.692,18.0,86.0
4.696,18.0,86.0
4.692,17.9,86.0
4.696,17.9,86.0
4.692,17.9,86.0
4.696,18.0,86.0
4.696,18.2,86.0
4.692,18.0,86.0
4.696,18.0,82.0
4.692,18.0,86.0
4.692,17.8,82.0
4.7,17.8,82.0
4.692,17.7,82.0
4.692,18.0,86.0
4.696,18.0,86.0
4.692,17.9,86.0
4.696,18.0,86.0
4.696,18.1,82.0
4.692,17.6,82.0
4.692,17.8,82.0
4.696,17.8,82.0
4.692,17.7,82.0
4.692,17.9,86.0
4.7,18.2,86.0
4.692,17.6,82.0
4.692,18.2,86.0
4.692,18.3,82.0
4.696,17.9,86.0
4.692,17.8,82.0
4.696,17.7,82.0
4.692,17.6,82.0
4.692,17.8,82.0
4.692,17.7,82.0
4.692,18.0,86.0
4.684,21.2,98.0
4.688,21.4,102.0
4.684,21.2,98.0
4.684,21.2,98.0
4.688,21.3,102.0
4.688,21.3,98.0
4.68,21.1,98.0
4.688,20.7,98.0
4.692,21.2,98.0
4.684,21.4,102.0
4.684,21.1,98.0
4.688,21.4,102.0
4.684,21.1,98.0
4.688,21.2,98.0
4.688,21.5,102.0
4.684,21.3,98.0
4.688,21.3,102.0
4.688,21.0,98.0
4.684,21.2,98.0
4.688,21.2,98.0
4.688,21.4,102.0
4.684,21.6,102.0
4.684,21.3,102.0
4.688,21.2,98.0
4.684,21.4,102.0
4.684,21.4,98.0
4.684,21.0,98.0
4.688,21.3,98.0
4.684,21.0,98.0
4.688,21.1,102.0
4.688,21.3,98.0
4.684,21.3,98.0
4.688,21.4,98.0
4.684,21.1,98.0
4.68,21.3,98.0
4.684,20.8,98.0
4.688,21.0,98.0
4.68,21.3,98.0
4.684,21.3,102.0
4.684,21.6,102.0
4.68,21.3,98.0
4.688,21.0,102.0
4.688,21.4,102.0
4.68,21.5,102.0
4.684,21.6,98.0
4.688,21.0,98.0
4.684,21.3,98.0
4.684,21.2,98.0
4.688,21.1,98.0
4.688,21.6,102.0
4.684,21.3,102.0
4.688,21.4,102.0
4.684,21.5,102.0
4.684,21.2,102.0
4.688,21.1,98.0
4.684,21.3,98.0
4.684,21.2,98.0
4.688,21.0,98.0
4.688,21.1,98.0
4.684,21.5,102.0
4.688,21.5,98.0
4.688,21.0,98.0
4.684,21.3,98.0
4.688,21.2,102.0
4.684,21.4,102.0
4.684,21.1,98.0
4.688,21.1,98.0
4.688,21.1,98.0
4.684,21.1,98.0
4.688,21.5,102.0
4.688,21.4,102.0
4.68,21.4,102.0
4.684,21.3,102.0
4.684,21.3,98.0
4.68,21.0,98.0
4.688,21.4,98.0
4.688,21.2,98.0
4.688,21.3,98.0
4.684,21.2,98.0
4.688,21.0,98.0
4.684,21.5,102.0
4.684,21.4,102.0
4.684,21.3,98.0
4.684,21.3,98.0
4.684,21.4,98.0
4.688,21.3,98.0
4.688,21.0,98.0
4.684,21.0,98.0
4.688,21.0,98.0
4.688,21.2,98.0
4.684,21.4,102.0
4.688,21.0,98.0
4.684,21.3,98.0
4.68,21.4,102.0
4.688,21.2,98.0
4.688,21.1,98.0
4.68,21.1,98.0
4.684,21.2,98.0
4.688,21.2,98.0
4.68,20.8,98.0
4.688,21.3,98.0
4.684,21.3,98.0
4.68,21.3,98.0
4.684,21.4,102.0
4.684,21.3,98.0
4.684,21.5,102.0
4.684,20.9,98.0
4.688,21.1,98.0
4.688,21.1,98.0
4.684,21.0,98.0
4.688,21.2,98.0
4.684,21.3,98.0
4.68,21.1,98.0
4.688,21.1,98.0
4.688,20.9,98.0
4.684,21.0,98.0
4.684,21.0,98.0
4.684,21.1,98.0
4.68,21.4,102.0
4.688,21.2,98.0
4.684,21.7,102.0
4.68,21.2,98.0
4.684,21.2,98.0
4.684,21.4,102.0
4.684,21.1,98.0
4.688,20.9,102.0
4.688,21.1,98.0
4.684,21.1,98.0
4.684,21.3,102.0
4.688,21.3,98.0
4.68,21.2,98.0
4.684,21.3,102.0
4.688,21.3,98.0
4.684,21.4,102.0
4.688,21.0,98.0
4.688,21.1,98.0
4.684,21.2,98.0
4.684,21.0,102.0
4.684,21.2,98.0
4.684,21.5,102.0
4.68,21.3,98.0
4.684,21.3,102.0
4.684,21.5,102.0
4.68,21.0,98.0
4.684,21.1,98.0
4.684,21.0,98.0
4.684,21.1,98.0
4.684,21.0,98.0
4.688,21.6,102.0
4.68,21.5,102.0
4.684,21.4,102.0
4.684,21.6,102.0
4.68,21.4,102.0
4.684,21.1,98.0
4.684,21.3,98.0
4.68,21.0,98.0
4.684,21.0,98.0
4.684,21.6,102.0
4.676,21.4,102.0
4.684,21.1,102.0
4.688,21.5,102.0
4.684,20.9,98.0
4.688,21.6,102.0
4.684,21.3,98.0
4.688,21.1,98.0
4.684,21.0,98.0
4.684,20.8,98.0
4.688,21.4,102.0
4.684,21.2,98.0
4.684,21.3,102.0
4.684,21.1,98.0
4.684,21.4,102.0
4.688,21.3,98.0
4.684,21.1,98.0
4.68,20.9,98.0
4.684,21.0,98.0
4.684,21.3,98.0
4.68,21.4,102.0
4.688,21.4,98.0
4.688,21.1,98.0
4.676,21.4,102.0
4.688,21.2,102.0
4.684,21.0,98.0
4.68,21.1,98.0
4.684,21.1,98.0
4.684,21.4,102.0
4.684,21.3,98.0
4.688,21.4,98.0
4.688,21.3,98.0
4.684,21.4,102.0
4.684,21.2,98.0
4.684,21.8,102.0
4.684,21.1,98.0
4.684,21.0,98.0
4.688,21.0,98.0
4.688,21.0,98.0
4.68,21.2,98.0
4.684,21.3,98.0
4.684,21.3,98.0
4.684,21.5,102.0
