Bus Voltage (V),Current (mA),Power (mW)
4.68,46.9,220.0
4.676,47.4,222.0
4.672,47.1,220.0
4.668,46.6,216.0
4.66,47.2,220.0
4.668,47.5,222.0
4.668,47.1,220.0
4.68,47.1,220.0
4.676,48.3,226.0
4.684,47.3,222.0
4.68,46.8,220.0
4.688,47.1,220.0
4.684,47.3,222.0
4.684,47.2,220.0
4.68,46.8,220.0
4.684,47.9,222.0
4.68,47.8,222.0
4.684,46.6,220.0
4.68,47.3,222.0
4.68,47.5,222.0
4.684,47.3,222.0
4.684,46.6,220.0
4.688,47.4,222.0
4.68,47.9,222.0
4.688,46.9,220.0
4.684,47.2,220.0
4.692,47.4,222.0
4.68,47.1,220.0
4.692,46.7,220.0
4.688,47.5,222.0
4.688,48.1,226.0
4.684,47.2,220.0
4.692,47.3,222.0
4.684,47.5,222.0
4.684,47.3,222.0
4.688,46.7,220.0
4.684,47.2,222.0
4.692,47.9,226.0
4.68,47.3,222.0
4.688,47.2,220.0
4.684,47.4,222.0
4.688,47.2,222.0
4.684,46.8,220.0
4.656,60.1,282.0
4.652,61.6,288.0
4.66,61.7,288.0
4.648,61.1,286.0
4.66,61.3,286.0
4.656,60.9,286.0
4.648,58.8,272.0
4.652,60.6,282.0
4.652,60.9,282.0
4.656,61.4,282.0
4.652,61.0,282.0
4.66,61.6,288.0
4.652,61.4,286.0
4.652,60.8,282.0
4.656,60.9,282.0
4.66,61.6,286.0
4.656,60.5,282.0
4.66,61.0,286.0
4.656,61.6,286.0
4.656,61.9,282.0
4.656,60.9,286.0
4.652,61.0,286.0
4.652,61.7,288.0
4.652,61.4,286.0
4.656,60.5,286.0
4.648,61.8,288.0
4.656,60.7,282.0
4.648,60.2,282.0
4.656,61.0,286.0
4.652,61.6,286.0
4.66,61.4,286.0
4.652,60.8,282.0
4.66,60.4,282.0
4.652,61.1,286.0
4.656,60.7,282.0
4.656,60.9,286.0
4.66,61.5,286.0
4.652,61.0,286.0
4.656,60.7,282.0
4.656,60.9,282.0
4.652,61.8,288.0
4.652,61.0,286.0
4.652,59.5,278.0
4.66,61.0,286.0
4.656,61.0,286.0
4.656,61.2,286.0
4.656,60.6,282.0
4.66,61.5,286.0
4.652,61.1,288.0
4.656,59.5,278.0
4.66,61.4,286.0
