Bus Voltage (V),Current (mA),Power (mW)
4.672,47.3,220.0
4.684,47.2,220.0
4.68,46.9,220.0
4.684,46.7,220.0
4.68,47.2,220.0
4.684,46.8,220.0
4.676,47.1,220.0
4.672,47.8,222.0
4.68,47.6,222.0
4.676,46.5,216.0
4.684,47.0,220.0
4.676,46.9,220.0
4.684,47.3,220.0
4.676,46.7,220.0
4.684,47.7,222.0
4.68,47.8,222.0
4.684,46.6,220.0
4.68,47.2,220.0
4.684,47.4,222.0
4.68,46.7,220.0
4.676,47.0,220.0
4.68,47.8,222.0
4.676,48.1,226.0
4.68,46.6,220.0
4.672,47.2,220.0
4.684,47.5,220.0
4.676,46.8,220.0
4.684,46.5,216.0
4.676,47.3,222.0
4.684,48.2,222.0
4.676,47.0,220.0
4.684,47.1,220.0
4.68,47.3,220.0
4.676,47.0,220.0
4.68,46.6,216.0
4.676,47.6,222.0
4.68,47.8,222.0
4.676,47.7,222.0
4.68,47.7,222.0
4.68,47.3,220.0
4.68,46.8,220.0
4.68,46.5,216.0
4.68,47.9,226.0
4.66,48.0,222.0
4.668,48.2,226.0
4.676,48.8,230.0
4.632,48.8,226.0
4.676,47.9,222.0
4.672,47.7,222.0
4.676,48.2,226.0
4.672,48.8,226.0
4.676,48.4,226.0
4.648,48.9,230.0
4.684,49.1,230.0
4.676,47.8,222.0
4.684,47.6,222.0
4.68,48.3,226.0
4.672,48.5,226.0
4.676,48.1,226.0
4.668,48.4,230.0
4.676,66.8,312.0
4.672,48.4,226.0
4.676,47.6,222.0
4.672,48.2,276.0
4.68,48.4,226.0
4.676,48.0,222.0
4.664,66.2,308.0
4.676,49.6,230.0
4.68,48.5,226.0
4.676,47.7,222.0
4.668,48.3,226.0
4.68,48.3,226.0
4.628,48.1,226.0
4.676,48.0,226.0
4.668,48.6,226.0
4.664,49.1,226.0
4.672,48.2,222.0
4.68,48.3,226.0
4.672,48.4,226.0
4.68,48.1,226.0
4.676,47.7,222.0
4.684,48.8,230.0
4.676,49.1,230.0
4.668,48.3,226.0
4.672,48.3,226.0
4.672,48.7,226.0
4.68,53.3,246.0
4.676,47.6,222.0
4.68,48.2,230.0
4.672,48.8,312.0
4.68,48.3,226.0
4.676,48.3,226.0
4.68,66.7,308.0
4.676,47.7,222.0
4.684,47.6,222.0
4.636,52.7,246.0
4.672,48.9,230.0
4.676,48.4,226.0
4.644,48.7,226.0
4.68,48.9,230.0
4.672,48.2,226.0
4.648,47.9,222.0
4.672,48.5,226.0
4.684,48.6,226.0
4.676,48.4,226.0
4.68,48.4,230.0
4.672,48.8,226.0
4.68,48.0,222.0
4.676,47.8,222.0
4.676,48.2,308.0
4.676,48.5,226.0
4.672,48.3,226.0
4.676,48.1,222.0
4.672,48.6,230.0
4.68,48.8,226.0
4.676,66.0,308.0
4.68,48.2,226.0
4.676,48.5,226.0
4.68,57.1,226.0
4.676,48.2,226.0
4.672,49.2,230.0
4.636,64.0,298.0
