Bus Voltage (V),Current (mA),Power (mW)
4.716,47.7,226.0
4.72,47.7,226.0
4.716,46.8,220.0
4.72,47.5,222.0
4.716,47.2,222.0
4.716,46.9,220.0
4.72,47.5,222.0
4.712,47.7,226.0
4.72,47.7,226.0
4.712,48.5,226.0
4.716,46.5,222.0
4.716,46.8,220.0
4.724,47.4,222.0
4.716,46.4,220.0
4.72,47.2,222.0
4.716,48.3,226.0
4.72,47.2,222.0
4.716,47.6,222.0
4.712,47.4,222.0
4.716,46.3,220.0
4.716,46.9,220.0
4.72,47.7,226.0
4.712,47.0,222.0
4.724,48.0,226.0
4.716,48.2,226.0
4.72,46.8,220.0
4.72,47.6,226.0
4.72,47.4,222.0
4.72,46.4,220.0
4.728,47.4,226.0
4.716,48.1,226.0
4.712,47.2,222.0
4.716,48.6,230.0
4.716,47.2,222.0
4.72,46.5,220.0
4.716,47.5,222.0
4.72,47.1,222.0
4.716,47.3,222.0
4.72,48.5,230.0
4.72,47.4,222.0
4.72,47.7,226.0
4.72,47.5,222.0
4.724,47.4,222.0
4.72,47.2,222.0
4.72,48.5,230.0
4.716,47.8,226.0
4.712,48.7,230.0
4.716,49.2,232.0
4.708,47.9,226.0
4.72,48.1,226.0
4.712,48.5,230.0
4.716,47.5,226.0
4.716,48.3,230.0
4.724,49.3,232.0
4.716,48.1,226.0
4.72,49.1,230.0
4.716,48.6,230.0
4.716,47.5,222.0
4.716,48.4,230.0
4.712,48.4,230.0
4.72,64.4,302.0
4.716,70.6,330.0
4.716,69.8,328.0
4.712,69.8,324.0
4.68,69.6,324.0
4.676,69.3,324.0
4.676,69.2,324.0
4.676,69.5,328.0
4.68,69.1,324.0
4.672,70.0,230.0
4.676,49.1,232.0
4.7,49.4,230.0
4.716,48.3,226.0
4.72,48.6,230.0
4.716,48.2,226.0
4.716,47.8,226.0
4.716,48.8,232.0
4.716,48.8,232.0
4.712,48.5,230.0
4.716,49.5,232.0
4.712,47.6,226.0
4.716,47.9,226.0
4.712,48.4,230.0
4.716,47.8,226.0
4.716,48.5,232.0
4.716,49.3,232.0
4.712,48.4,230.0
4.716,48.7,230.0
4.716,48.4,230.0
4.712,47.8,226.0
4.716,48.4,226.0
4.712,48.1,230.0
4.712,48.3,230.0
4.712,48.5,230.0
4.72,49.3,232.0
