Bus Voltage (V),Current (mA),Power (mW)
4.656,47.4,220.0
4.652,47.5,222.0
4.656,46.8,216.0
4.652,47.2,220.0
4.66,47.9,222.0
4.648,48.0,222.0
4.656,47.6,222.0
4.656,47.5,220.0
4.656,47.9,222.0
4.652,46.9,220.0
4.652,47.1,220.0
4.656,47.7,222.0
4.652,47.7,222.0
4.652,47.9,222.0
4.656,47.8,222.0
4.652,47.7,222.0
4.652,46.8,222.0
4.656,47.2,220.0
4.652,47.6,222.0
4.656,47.5,220.0
4.656,47.4,222.0
4.656,48.0,226.0
4.656,48.6,226.0
4.66,46.9,220.0
4.656,47.3,220.0
4.652,48.0,222.0
4.652,47.4,220.0
4.648,47.3,220.0
4.656,48.1,222.0
4.644,49.1,230.0
4.652,47.5,222.0
4.652,47.5,220.0
4.66,47.7,222.0
4.648,47.4,220.0
4.66,47.0,220.0
4.656,47.4,222.0
4.66,49.0,230.0
4.652,48.0,222.0
4.656,47.4,220.0
4.656,48.2,222.0
4.656,47.6,220.0
4.656,47.1,220.0
4.652,47.4,220.0
4.66,48.5,226.0
4.652,47.8,226.0
4.656,48.3,220.0
4.604,58.1,268.0
4.656,48.5,226.0
4.656,48.2,222.0
4.656,48.4,242.0
4.656,49.2,230.0
4.608,60.6,282.0
4.652,49.3,230.0
4.656,49.4,230.0
4.656,48.5,282.0
4.656,48.1,222.0
4.608,53.2,250.0
4.656,48.7,226.0
4.652,48.8,226.0
4.652,49.5,298.0
4.656,50.0,232.0
4.62,48.9,226.0
4.652,48.1,222.0
4.656,48.3,226.0
4.656,49.0,298.0
4.652,48.4,226.0
4.656,48.8,226.0
4.648,50.0,232.0
4.656,49.7,230.0
4.648,61.6,298.0
4.656,48.3,226.0
4.656,49.1,230.0
4.652,48.5,226.0
4.656,48.4,226.0
4.636,65.3,298.0
4.652,49.7,232.0
4.62,49.2,230.0
4.656,48.4,226.0
4.652,49.2,230.0
4.612,63.8,252.0
4.652,48.4,226.0
4.648,49.3,230.0
4.648,49.4,230.0
4.656,48.7,230.0
4.612,65.0,298.0
4.656,49.2,230.0
4.644,48.5,226.0
4.656,47.9,222.0
4.656,49.1,230.0
4.6,65.1,302.0
4.652,48.8,226.0
4.652,49.4,230.0
4.652,49.4,230.0
4.648,48.2,226.0
4.608,62.6,292.0
4.652,49.1,230.0
4.656,48.6,226.0
4.652,48.7,272.0
4.656,49.4,230.0
4.604,56.2,262.0
4.648,49.1,230.0
4.656,48.1,222.0
4.656,48.9,302.0
4.652,48.6,226.0
4.6,51.3,240.0
4.652,49.3,230.0
4.652,49.4,230.0
4.652,49.2,294.0
4.648,48.6,222.0
4.608,51.8,242.0
4.648,48.7,226.0
4.656,48.3,226.0
4.652,48.6,298.0
4.66,49.9,232.0
4.64,49.4,230.0
4.656,49.0,230.0
4.656,48.8,226.0
4.656,48.6,294.0
4.652,48.3,226.0
4.648,48.7,226.0
4.652,49.5,230.0
4.648,49.5,230.0
4.656,51.4,298.0
4.652,49.5,230.0
4.652,48.7,226.0
4.648,48.2,222.0
4.656,48.5,226.0
4.656,51.1,298.0
4.66,49.2,230.0
4.648,48.9,226.0
4.66,49.7,230.0
4.652,48.8,226.0
4.64,64.3,294.0
4.66,48.5,226.0
4.652,49.0,230.0
4.66,48.6,226.0
4.648,49.4,226.0
4.616,65.1,256.0
4.648,49.8,232.0
4.656,48.2,222.0
4.656,48.4,226.0
4.656,49.1,226.0
4.604,64.1,226.0
4.66,48.3,226.0
4.652,49.8,232.0
4.652,49.4,230.0
4.652,49.1,226.0
4.604,64.0,226.0
4.66,48.9,230.0
4.648,48.5,226.0
4.652,48.2,222.0
4.652,49.3,230.0
4.6,65.5,230.0
4.652,49.1,230.0
4.66,48.8,226.0
4.652,48.9,226.0
4.656,48.3,226.0
4.6,64.4,222.0
4.66,49.3,230.0
4.648,49.4,230.0
4.652,48.6,226.0
4.656,49.4,230.0
4.6,65.0,230.0
4.656,48.5,226.0
4.648,48.2,222.0
4.656,51.8,240.0
4.648,49.0,230.0
4.6,60.0,278.0
4.648,49.2,230.0
4.656,49.9,232.0
4.652,64.5,298.0
4.656,48.5,222.0
4.604,49.3,230.0
4.656,48.8,226.0
4.656,48.3,226.0
4.656,64.9,298.0
4.652,49.3,232.0
4.616,49.6,230.0
4.652,47.9,222.0
4.648,49.3,230.0
4.656,64.7,298.0
4.652,48.1,226.0
4.62,48.6,226.0
4.648,49.8,232.0
4.656,49.4,230.0
4.648,49.2,298.0
4.66,49.1,230.0
4.632,48.3,226.0
4.652,48.3,226.0
4.656,48.4,226.0
4.66,51.8,302.0
4.648,49.4,230.0
4.644,48.8,226.0
4.652,49.2,230.0
4.652,48.6,226.0
4.648,63.8,294.0
4.656,48.5,226.0
4.656,49.3,230.0
4.648,49.8,232.0
4.652,48.8,226.0
4.64,65.7,304.0
4.656,49.3,230.0
4.648,48.1,222.0
4.656,48.5,226.0
4.652,49.0,230.0
4.624,64.4,302.0
4.652,49.0,230.0
4.648,49.6,230.0
4.652,49.7,232.0
4.644,48.4,226.0
4.608,64.5,226.0
4.652,49.2,230.0
4.656,48.7,226.0
4.652,48.5,222.0
4.656,49.8,232.0
4.596,65.3,230.0
4.652,48.8,226.0
4.656,48.4,226.0
4.66,49.0,226.0
4.652,48.2,226.0
4.608,64.0,226.0
4.656,49.4,230.0
4.648,49.6,230.0
4.652,49.3,226.0
4.648,49.0,226.0
4.604,64.9,226.0
4.648,48.8,226.0
4.652,48.1,222.0
4.656,52.9,242.0
4.656,49.0,232.0
4.596,56.0,226.0
4.656,49.4,230.0
4.648,48.8,226.0
4.656,60.2,278.0
4.656,48.5,222.0
4.608,51.5,240.0
4.652,48.8,226.0
4.652,49.2,230.0
4.648,64.7,298.0
4.648,49.8,232.0
4.636,48.9,226.0
4.644,48.3,226.0
4.652,49.1,230.0
4.648,64.9,298.0
4.652,48.3,226.0
4.612,49.3,230.0
4.652,49.6,230.0
4.648,49.4,230.0
4.656,64.3,294.0
4.652,49.0,226.0
4.64,48.5,226.0
4.652,48.2,222.0
4.656,48.9,226.0
4.652,56.3,302.0
4.644,49.3,230.0
4.648,48.6,226.0
4.656,49.1,230.0
4.652,48.8,226.0
4.648,51.8,294.0
4.656,48.4,226.0
4.648,49.6,230.0
4.656,49.1,230.0
4.648,48.9,226.0
4.66,57.6,298.0
4.648,48.8,230.0
4.652,48.1,222.0
4.648,48.4,226.0
4.656,49.4,230.0
4.644,64.7,304.0
4.644,48.8,226.0
4.652,49.8,232.0
4.644,48.9,226.0
4.656,48.0,222.0
4.644,64.0,298.0
4.656,49.1,230.0
4.648,48.9,226.0
4.656,49.0,230.0
4.648,49.4,230.0
4.62,65.6,278.0
4.648,48.3,226.0
4.656,48.5,226.0
4.652,48.9,226.0
4.656,48.9,226.0
4.604,63.9,250.0
4.648,49.8,232.0
4.656,49.5,230.0
4.644,48.5,226.0
4.656,48.4,226.0
4.596,64.8,230.0
4.656,48.7,226.0
4.652,48.4,226.0
4.66,57.6,266.0
4.648,49.8,232.0
4.604,59.2,230.0
4.652,48.8,226.0
4.66,49.0,230.0
4.652,64.5,298.0
4.652,48.2,222.0
4.632,49.3,230.0
4.648,49.6,230.0
4.648,48.8,226.0
4.648,64.7,298.0
4.656,49.2,230.0
4.648,48.8,226.0
4.656,48.3,226.0
4.652,49.0,230.0
4.656,65.2,302.0
4.648,48.8,230.0
4.656,49.1,230.0
4.648,49.7,232.0
4.656,48.7,226.0
4.608,55.4,258.0
4.656,49.1,226.0
4.652,48.5,226.0
4.648,48.5,226.0
4.652,49.2,230.0
4.596,49.9,232.0
4.652,49.3,226.0
4.648,48.2,222.0
4.656,49.0,226.0
4.648,49.1,230.0
4.604,63.3,222.0
4.648,49.1,230.0
4.656,49.7,230.0
4.652,63.0,288.0
4.656,48.1,222.0
4.604,52.7,226.0
4.652,48.6,230.0
4.652,48.1,222.0
4.652,64.3,294.0
4.652,49.9,232.0
4.624,49.5,230.0
4.648,49.4,230.0
4.656,49.0,230.0
4.652,65.1,302.0
4.652,48.2,222.0
4.656,48.7,226.0
4.652,49.1,230.0
4.656,49.4,230.0
4.632,62.4,292.0
4.652,49.1,230.0
4.652,48.8,230.0
4.656,48.2,222.0
4.656,48.7,226.0
4.608,55.8,258.0
4.652,49.3,230.0
4.644,49.0,226.0
4.652,49.9,232.0
4.652,49.4,230.0
4.632,60.0,278.0
4.652,48.5,226.0
4.656,48.9,230.0
4.656,48.8,226.0
4.652,49.3,230.0
4.6,52.0,242.0
4.652,49.3,232.0
