Bus Voltage (V),Current (mA),Power (mW)
4.584,18.4,86.0
4.584,17.6,82.0
4.588,18.1,86.0
4.588,18.2,86.0
4.588,18.4,86.0
4.588,18.3,86.0
4.58,18.6,86.0
4.584,18.5,86.0
4.588,18.4,86.0
4.588,18.3,86.0
4.588,18.3,86.0
4.588,18.0,82.0
4.584,18.4,86.0
4.588,18.1,86.0
4.592,18.2,86.0
4.588,18.4,86.0
4.592,18.5,86.0
4.584,18.4,86.0
4.584,18.3,86.0
4.588,18.3,86.0
4.592,18.2,82.0
4.592,18.4,86.0
4.588,18.0,82.0
4.58,18.1,82.0
4.584,18.3,86.0
4.592,18.7,86.0
4.588,18.2,86.0
4.588,18.5,86.0
4.588,18.4,86.0
4.58,18.3,86.0
4.592,18.3,86.0
4.588,18.3,86.0
4.592,18.1,82.0
4.588,18.4,86.0
4.592,18.4,86.0
4.584,18.3,86.0
4.592,18.4,82.0
4.588,18.3,86.0
4.588,18.3,86.0
4.592,18.3,86.0
4.584,18.3,86.0
4.572,21.7,98.0
4.576,21.6,98.0
4.584,21.9,98.0
4.58,21.9,98.0
4.58,21.6,98.0
4.568,21.8,98.0
4.576,21.8,98.0
4.58,21.7,102.0
4.58,22.0,98.0
4.58,21.7,98.0
4.576,21.8,98.0
4.58,21.7,98.0
4.576,21.7,98.0
4.576,21.7,98.0
4.576,21.5,98.0
4.58,21.6,98.0
4.58,22.0,102.0
4.576,21.8,98.0
4.576,21.7,98.0
4.58,21.6,98.0
4.58,21.6,98.0
4.58,21.6,98.0
4.58,21.7,98.0
4.576,22.0,102.0
4.572,21.9,98.0
4.58,21.8,98.0
4.58,21.6,98.0
4.584,22.1,102.0
4.584,21.6,98.0
4.58,21.8,98.0
4.576,21.5,98.0
4.576,21.9,98.0
4.58,21.5,102.0
4.58,21.6,98.0
4.58,21.8,98.0
4.58,21.7,98.0
4.572,21.7,98.0
4.576,21.8,98.0
4.58,21.6,98.0
4.58,21.6,98.0
4.58,21.8,98.0
4.576,21.8,98.0
