Bus Voltage (V),Current (mA),Power (mW)
4.608,17.5,82.0
4.412,18.1,78.0
4.416,18.0,82.0
4.428,18.1,82.0
4.436,18.0,78.0
4.436,18.2,82.0
4.436,18.1,78.0
4.432,18.5,82.0
4.432,18.5,82.0
4.436,17.9,82.0
4.436,18.5,82.0
4.44,18.7,82.0
4.436,18.7,82.0
4.44,18.3,82.0
4.44,18.5,82.0
4.44,18.6,82.0
4.448,18.5,82.0
4.448,18.5,82.0
4.448,18.3,82.0
4.452,18.3,82.0
4.456,18.7,82.0
4.456,18.7,82.0
4.46,18.4,82.0
4.456,18.4,82.0
4.46,18.2,82.0
4.456,18.5,82.0
4.46,18.2,82.0
4.46,18.7,82.0
4.46,18.8,82.0
4.46,18.4,82.0
4.46,18.2,82.0
4.46,18.6,82.0
4.46,18.7,82.0
4.46,18.8,82.0
4.464,18.8,82.0
4.464,18.5,82.0
4.464,18.6,82.0
4.46,19.1,86.0
4.46,18.4,82.0
4.46,18.6,82.0
4.46,18.5,82.0
4.46,18.9,82.0
4.46,18.6,82.0
4.464,18.6,82.0
4.464,18.9,82.0
4.448,18.4,82.0
4.424,22.3,98.0
4.424,22.3,98.0
4.424,22.3,98.0
4.428,22.6,98.0
4.432,22.5,98.0
4.432,22.3,98.0
4.436,22.3,98.0
4.432,22.3,98.0
4.436,22.5,98.0
4.436,22.3,98.0
4.436,22.6,98.0
4.44,22.2,98.0
4.44,22.0,98.0
4.44,22.4,98.0
4.44,22.4,98.0
4.444,22.3,98.0
4.444,22.4,98.0
4.444,22.2,98.0
4.448,21.9,98.0
4.444,22.1,98.0
4.444,21.8,98.0
4.444,22.0,98.0
4.448,22.3,98.0
4.448,22.4,98.0
4.448,21.9,98.0
4.448,22.3,98.0
4.448,22.1,98.0
4.452,22.1,98.0
4.448,22.3,98.0
4.448,22.2,102.0
4.448,22.1,98.0
4.452,22.2,98.0
4.448,22.0,98.0
4.452,22.0,98.0
4.452,22.2,98.0
4.452,22.4,98.0
4.452,22.0,98.0
4.456,22.2,98.0
4.456,22.1,98.0
4.456,22.1,98.0
4.452,22.4,98.0
4.452,22.2,98.0
4.452,22.3,98.0
4.456,22.6,98.0
4.456,22.3,98.0
4.452,22.2,98.0
4.452,22.4,98.0
4.452,22.2,98.0
4.452,22.7,102.0
4.452,22.1,98.0
4.452,22.1,98.0
4.452,22.4,98.0
4.452,22.2,98.0
4.456,22.0,98.0
4.452,22.1,98.0
4.456,22.5,98.0
4.456,22.2,98.0
4.456,22.3,98.0
4.444,22.6,98.0
4.44,22.0,98.0
4.44,22.6,98.0
4.444,22.7,102.0
4.448,22.3,98.0
4.448,22.3,98.0
4.448,22.4,98.0
4.452,22.2,98.0
4.452,22.2,98.0
4.452,22.3,98.0
4.456,21.9,98.0
4.456,22.3,98.0
4.456,22.1,98.0
4.46,22.0,98.0
4.456,21.9,98.0
4.46,22.1,98.0
4.456,22.0,98.0
4.456,22.0,98.0
4.456,22.1,98.0
4.46,22.2,98.0
4.456,22.1,98.0
4.456,22.0,98.0
4.456,22.7,102.0
4.456,22.6,98.0
4.456,22.6,98.0
4.46,22.5,98.0
4.46,22.4,98.0
4.456,22.2,98.0
4.46,22.1,98.0
4.456,22.5,98.0
4.456,22.2,98.0
4.456,22.4,98.0
4.456,22.4,98.0
4.456,22.3,98.0
4.456,22.3,98.0
4.456,22.3,98.0
4.444,22.3,98.0
4.444,22.4,98.0
4.444,22.5,98.0
4.448,22.1,98.0
4.448,22.4,98.0
4.452,22.4,98.0
4.456,22.4,98.0
4.452,22.1,98.0
4.456,22.2,98.0
4.456,22.4,98.0
4.46,22.2,98.0
4.468,22.0,98.0
4.464,22.3,98.0
4.46,22.3,98.0
4.468,22.0,98.0
4.46,22.3,98.0
4.464,21.8,98.0
4.464,22.2,98.0
4.464,22.3,98.0
4.46,22.2,98.0
4.464,22.4,98.0
4.46,22.3,98.0
4.464,22.3,98.0
4.46,22.6,98.0
4.46,22.3,98.0
4.46,21.9,98.0
4.46,22.2,98.0
4.46,22.3,98.0
4.46,22.3,98.0
4.46,22.5,98.0
4.448,22.2,98.0
4.452,22.5,98.0
4.452,22.2,98.0
4.456,22.2,98.0
4.456,21.9,98.0
4.46,22.3,98.0
4.46,22.1,98.0
4.46,22.0,98.0
4.464,21.9,98.0
4.464,22.3,98.0
4.464,21.9,98.0
4.464,22.1,98.0
4.464,22.0,98.0
4.464,22.2,98.0
4.464,22.3,98.0
4.464,21.8,98.0
4.46,22.3,98.0
4.464,22.5,98.0
4.464,22.1,98.0
4.46,22.2,98.0
4.464,22.5,98.0
4.464,22.2,98.0
4.464,22.3,98.0
4.464,22.4,98.0
4.464,22.5,98.0
4.46,22.4,98.0
4.46,22.5,98.0
4.452,22.0,98.0
4.452,22.3,98.0
4.456,22.3,98.0
4.456,22.0,98.0
4.46,22.1,98.0
4.46,22.4,98.0
4.46,21.9,98.0
4.464,22.6,98.0
4.46,22.3,98.0
4.464,22.3,98.0
4.464,21.9,102.0
4.468,22.0,98.0
4.468,22.0,98.0
4.464,22.0,98.0
4.468,21.9,98.0
4.468,22.0,98.0
4.464,22.5,98.0
4.464,22.4,98.0
4.464,22.4,98.0
4.464,22.2,98.0
4.464,22.4,98.0
4.464,22.2,98.0
4.464,22.1,98.0
4.464,22.6,98.0
4.464,22.2,98.0
4.464,22.2,98.0
4.452,22.3,98.0
4.456,22.1,98.0
4.46,22.2,98.0
4.456,22.3,98.0
4.464,22.3,98.0
4.464,22.0,98.0
4.468,22.2,98.0
4.468,22.0,98.0
4.468,22.2,98.0
4.464,22.4,98.0
4.464,22.0,98.0
4.464,22.2,98.0
4.468,22.1,98.0
4.468,21.8,98.0
4.468,22.4,98.0
4.464,22.4,98.0
4.468,22.4,98.0
4.468,22.2,98.0
4.468,22.3,98.0
4.464,21.9,98.0
4.464,22.2,98.0
4.464,22.3,98.0
4.464,22.4,98.0
4.464,22.3,98.0
4.452,22.1,98.0
4.46,22.1,98.0
4.46,22.0,98.0
4.464,22.1,98.0
4.464,22.0,98.0
4.464,21.8,98.0
4.464,22.2,98.0
4.464,22.2,98.0
4.468,22.2,102.0
4.468,22.2,98.0
4.468,21.9,98.0
4.472,22.3,98.0
4.468,21.8,98.0
4.468,22.1,98.0
4.468,22.5,98.0
4.468,22.3,98.0
4.468,22.3,98.0
4.468,22.4,98.0
4.468,22.1,98.0
4.468,22.2,98.0
4.468,22.2,98.0
4.468,22.3,98.0
4.456,22.1,98.0
4.46,22.6,102.0
4.46,22.4,98.0
4.46,22.0,98.0
4.464,22.0,98.0
4.464,22.0,98.0
4.468,22.1,98.0
4.468,22.2,98.0
4.472,22.0,98.0
4.472,22.2,98.0
4.468,22.1,102.0
4.472,22.2,98.0
4.468,22.1,98.0
4.468,22.3,98.0
4.468,22.4,98.0
4.468,22.2,98.0
4.468,22.4,98.0
4.472,22.1,98.0
4.472,22.3,98.0
4.472,22.1,98.0
4.468,22.0,98.0
4.46,22.3,98.0
4.456,22.2,98.0
4.46,22.1,98.0
