Bus Voltage (V),Current (mA),Power (mW)
4.7,48.4,226.0
4.7,48.2,226.0
4.7,47.1,222.0
4.704,47.3,222.0
4.7,47.6,222.0
4.704,46.8,220.0
4.696,47.5,222.0
4.704,48.3,226.0
4.704,47.1,222.0
4.704,48.7,226.0
4.704,47.7,222.0
4.708,46.8,220.0
4.704,47.3,222.0
4.708,47.5,222.0
4.704,46.8,222.0
4.7,48.5,226.0
4.704,47.7,226.0
4.696,48.1,226.0
4.708,47.4,222.0
4.7,47.5,222.0
4.708,47.1,222.0
4.704,48.0,222.0
4.708,47.8,230.0
4.7,47.7,222.0
4.708,48.2,226.0
4.7,48.3,226.0
4.704,47.1,222.0
4.704,48.0,226.0
4.704,47.6,222.0
4.704,46.6,220.0
4.7,48.2,226.0
4.704,48.4,226.0
4.7,47.4,222.0
4.704,48.6,230.0
4.7,47.6,222.0
4.708,47.2,222.0
4.7,47.9,226.0
4.708,47.8,226.0
4.7,47.5,222.0
4.708,48.5,230.0
4.696,47.6,222.0
4.704,48.6,222.0
4.704,47.8,226.0
4.7,47.5,222.0
4.708,47.7,226.0
4.7,48.0,226.0
4.652,67.5,314.0
4.64,69.6,344.0
4.648,74.8,324.0
4.64,67.4,314.0
4.644,73.6,344.0
4.644,67.9,314.0
4.648,74.6,348.0
4.64,70.5,328.0
4.648,67.3,348.0
4.648,75.4,314.0
4.644,68.6,318.0
4.64,75.0,348.0
4.648,66.6,308.0
4.648,74.2,348.0
4.644,74.5,314.0
4.648,66.9,344.0
4.644,74.1,344.0
4.648,67.6,314.0
4.636,75.1,348.0
4.648,68.4,318.0
4.644,74.7,348.0
4.66,74.6,308.0
4.648,66.2,344.0
4.644,74.5,344.0
4.644,67.5,314.0
4.644,74.5,348.0
4.644,67.3,312.0
4.64,69.6,348.0
4.644,74.3,318.0
4.644,67.3,312.0
4.656,74.7,348.0
4.644,67.4,314.0
4.648,74.9,348.0
4.648,67.3,312.0
4.648,66.7,348.0
4.644,75.6,322.0
4.64,67.1,312.0
4.644,74.5,348.0
4.644,67.0,312.0
4.644,74.5,348.0
4.64,74.4,322.0
4.644,67.9,350.0
4.648,74.8,348.0
4.648,68.8,322.0
4.644,74.9,348.0
4.656,66.5,308.0
4.644,74.5,348.0
4.652,74.7,318.0
4.64,67.5,348.0
4.64,75.2,350.0
4.644,67.6,314.0
4.64,75.8,350.0
4.648,68.5,318.0
4.64,66.8,348.0
4.652,74.7,312.0
4.64,66.7,312.0
4.644,74.4,348.0
4.644,67.3,312.0
4.648,74.9,348.0
4.64,69.4,322.0
4.648,67.5,344.0
4.644,74.9,324.0
4.644,66.5,308.0
4.652,74.8,348.0
4.648,68.6,318.0
4.648,75.1,350.0
4.644,75.1,312.0
4.644,67.1,350.0
4.644,74.5,348.0
4.648,66.9,312.0
4.64,74.5,348.0
4.648,68.3,318.0
4.64,74.8,348.0
4.648,75.5,322.0
4.644,67.4,348.0
4.656,75.5,350.0
4.648,67.7,314.0
4.652,73.9,344.0
4.652,66.4,308.0
4.644,74.8,348.0
4.644,74.0,324.0
4.644,67.8,348.0
4.648,75.4,350.0
4.644,68.8,318.0
4.648,74.2,344.0
4.644,68.2,318.0
4.648,66.4,348.0
4.648,75.1,308.0
4.648,66.9,312.0
4.64,75.4,350.0
4.644,67.7,314.0
4.648,75.4,350.0
4.636,69.5,322.0
4.648,67.3,348.0
4.644,74.7,324.0
4.648,67.9,314.0
4.644,74.7,348.0
4.648,68.9,322.0
4.64,74.5,348.0
4.656,75.8,318.0
4.64,67.3,350.0
4.648,74.1,328.0
4.644,67.4,314.0
4.644,74.9,348.0
4.644,68.7,318.0
4.648,74.9,348.0
4.644,75.5,324.0
4.64,67.8,348.0
4.644,75.2,350.0
4.644,68.0,314.0
4.648,74.2,344.0
4.648,67.4,314.0
4.648,74.6,348.0
4.644,74.4,338.0
4.648,67.9,350.0
4.644,74.6,348.0
4.648,71.4,330.0
4.644,74.3,344.0
4.648,69.3,322.0
4.648,69.1,348.0
4.644,75.1,314.0
4.644,67.5,314.0
4.636,75.1,350.0
4.648,67.5,314.0
4.64,75.0,348.0
4.648,72.8,338.0
4.64,67.3,348.0
4.648,74.3,324.0
4.652,71.2,330.0
4.648,74.5,348.0
4.644,69.3,322.0
4.652,74.1,344.0
4.644,75.6,330.0
4.64,67.4,344.0
4.64,73.8,344.0
4.644,69.1,322.0
4.644,73.9,344.0
4.644,72.7,338.0
4.648,76.0,354.0
4.64,74.3,328.0
4.652,72.2,348.0
4.644,75.2,350.0
4.652,68.3,318.0
4.652,73.8,344.0
4.652,71.1,330.0
4.644,66.9,348.0
4.64,75.4,344.0
4.644,69.8,324.0
4.64,75.1,348.0
4.644,72.8,338.0
4.64,74.7,348.0
4.648,69.8,324.0
4.648,71.3,348.0
4.652,74.5,338.0
4.644,69.2,322.0
4.648,74.8,348.0
4.648,72.0,334.0
4.648,74.3,344.0
4.644,74.8,344.0
4.644,69.3,348.0
4.648,74.1,344.0
4.652,73.0,338.0
4.644,75.7,354.0
4.64,70.0,324.0
4.652,74.7,348.0
4.64,75.8,340.0
4.648,67.8,344.0
4.644,74.2,348.0
4.652,71.5,330.0
4.644,74.3,344.0
4.648,74.7,348.0
4.644,70.1,348.0
4.644,74.6,334.0
4.648,73.5,340.0
4.64,74.1,344.0
4.652,69.7,324.0
4.648,74.3,348.0
4.648,72.6,338.0
4.64,68.1,348.0
4.648,75.2,354.0
4.648,71.2,330.0
4.644,74.8,348.0
4.64,73.6,340.0
4.652,74.1,344.0
4.644,70.5,328.0
4.656,72.5,348.0
4.644,74.5,344.0
4.644,69.4,322.0
4.648,74.3,348.0
4.64,72.9,338.0
4.648,74.4,348.0
4.644,74.2,350.0
4.652,70.6,344.0
4.64,74.3,344.0
4.66,73.7,340.0
4.648,74.3,348.0
4.648,70.9,328.0
4.652,75.2,350.0
4.644,74.1,338.0
4.648,69.1,344.0
4.636,74.3,348.0
4.656,71.8,334.0
4.648,74.7,348.0
4.644,76.1,354.0
4.644,70.8,348.0
4.644,75.5,334.0
4.648,73.8,344.0
4.644,74.2,344.0
4.652,69.9,324.0
4.66,74.2,344.0
4.648,73.5,340.0
4.652,69.3,350.0
4.644,74.8,354.0
4.652,72.9,338.0
4.644,74.9,348.0
4.64,75.5,350.0
4.648,73.4,340.0
4.64,74.9,334.0
4.656,73.8,348.0
4.64,74.9,348.0
4.652,70.2,328.0
4.652,75.5,350.0
4.648,73.2,340.0
4.644,74.4,348.0
4.648,74.2,350.0
4.652,72.1,344.0
4.64,74.6,348.0
4.656,76.0,354.0
4.644,74.4,348.0
4.644,72.3,334.0
4.648,73.3,344.0
4.648,74.4,350.0
4.648,69.5,322.0
4.648,73.8,344.0
4.656,73.8,344.0
4.648,75.9,354.0
4.644,76.0,354.0
4.656,72.9,348.0
4.64,75.0,338.0
4.652,75.2,350.0
4.648,73.8,344.0
4.648,71.2,330.0
4.656,75.0,350.0
4.64,74.4,354.0
4.648,69.9,348.0
4.644,75.5,350.0
4.656,73.6,340.0
4.644,74.7,348.0
4.648,75.2,348.0
4.652,74.1,344.0
4.644,74.5,338.0
4.66,76.1,348.0
4.636,74.7,348.0
4.652,71.7,334.0
4.652,74.2,344.0
4.648,75.0,348.0
4.644,74.9,348.0
4.648,73.7,350.0
4.656,74.2,344.0
4.644,75.9,354.0
4.656,75.9,354.0
4.656,74.8,348.0
4.64,72.5,338.0
4.664,75.4,344.0
4.644,74.0,350.0
4.652,70.9,328.0
4.644,74.3,348.0
4.644,76.7,358.0
4.648,74.6,348.0
4.64,76.7,358.0
4.656,74.2,348.0
4.644,74.6,340.0
4.664,75.7,350.0
4.648,74.5,348.0
4.644,72.0,334.0
4.66,74.9,348.0
4.648,74.8,354.0
4.652,71.0,350.0
4.648,73.8,344.0
4.656,75.8,354.0
4.644,74.6,348.0
4.644,75.5,350.0
4.652,74.7,348.0
4.648,75.5,348.0
4.656,76.1,340.0
4.644,75.2,350.0
4.652,72.4,338.0
4.66,74.3,348.0
4.644,75.7,350.0
4.652,73.9,344.0
4.644,74.1,350.0
4.656,76.3,354.0
4.64,74.0,344.0
4.656,76.4,354.0
4.656,74.8,348.0
4.64,72.4,338.0
4.66,75.4,340.0
4.644,74.7,354.0
