Bus Voltage (V),Current (mA),Power (mW)
4.552,18.5,86.0
4.552,18.1,82.0
4.556,18.5,86.0
4.556,18.4,82.0
4.556,18.0,82.0
4.556,18.8,86.0
4.556,18.4,82.0
4.556,18.4,82.0
4.548,18.3,82.0
4.552,18.5,82.0
4.552,18.4,82.0
4.552,18.7,86.0
4.552,18.3,82.0
4.552,18.4,82.0
4.552,18.5,86.0
4.672,21.0,98.0
4.716,20.7,98.0
4.72,20.7,98.0
4.724,20.3,96.0
4.708,20.8,98.0
4.7,21.1,98.0
4.692,20.8,98.0
4.728,20.7,98.0
4.728,20.8,98.0
4.724,20.8,98.0
4.732,20.8,98.0
4.728,20.7,98.0
4.728,20.7,98.0
4.732,20.5,98.0
4.724,20.8,98.0
4.728,21.0,98.0
4.728,20.8,98.0
4.728,20.8,98.0
4.732,20.9,98.0
4.728,20.8,98.0
4.728,20.8,98.0
4.732,20.6,98.0
4.728,21.1,98.0
4.732,20.5,98.0
4.728,20.8,98.0
4.728,20.6,98.0
4.728,20.7,98.0
4.728,20.8,98.0
4.728,20.7,98.0
4.732,20.8,98.0
4.724,20.7,98.0
4.728,20.7,98.0
4.732,20.6,98.0
4.732,20.7,98.0
4.728,20.7,98.0
4.72,21.0,98.0
4.732,20.7,98.0
4.728,20.9,98.0
4.728,20.9,98.0
4.732,20.9,98.0
4.728,20.6,98.0
4.732,20.9,98.0
4.732,20.8,98.0
4.724,20.6,98.0
4.732,20.8,98.0
4.728,20.9,98.0
4.728,20.8,98.0
4.732,20.7,98.0
4.728,20.7,98.0
4.732,20.8,98.0
4.728,20.7,98.0
4.728,20.7,98.0
4.728,20.7,98.0
4.732,20.8,98.0
4.728,20.6,98.0
4.732,21.0,98.0
4.728,21.1,98.0
4.732,20.9,98.0
4.728,20.9,98.0
4.728,20.9,98.0
4.732,20.9,98.0
4.728,20.7,98.0
4.728,20.7,98.0
4.728,20.9,98.0
4.728,20.8,98.0
4.732,20.7,98.0
4.732,20.9,98.0
4.728,20.6,98.0
4.728,20.9,98.0
4.732,21.0,98.0
4.728,20.6,98.0
4.732,20.3,96.0
4.728,20.8,98.0
4.732,20.5,98.0
4.732,20.8,98.0
4.728,20.8,98.0
4.728,20.6,98.0
4.732,20.8,98.0
4.728,20.7,98.0
4.728,20.8,98.0
4.724,20.7,98.0
4.732,20.4,98.0
4.728,20.8,98.0
4.728,20.5,98.0
4.732,20.8,98.0
4.732,20.8,98.0
4.728,20.8,98.0
4.728,20.9,98.0
4.724,21.1,98.0
4.728,20.6,98.0
4.728,20.5,98.0
4.728,20.6,98.0
4.732,20.6,98.0
4.724,20.7,98.0
4.728,20.3,98.0
4.728,20.9,98.0
4.728,20.7,98.0
4.732,20.9,98.0
4.728,20.9,98.0
4.732,20.8,98.0
4.728,20.8,98.0
4.724,20.7,98.0
4.732,20.7,98.0
4.728,20.8,98.0
4.728,21.0,98.0
4.732,20.7,98.0
4.732,20.9,98.0
4.732,20.8,98.0
4.728,20.8,98.0
4.728,21.1,98.0
4.732,20.6,98.0
4.728,20.4,96.0
4.732,20.7,98.0
4.732,20.6,98.0
4.732,20.8,98.0
4.732,20.7,98.0
4.732,20.6,98.0
4.724,20.8,98.0
4.732,20.6,98.0
4.732,20.9,98.0
4.728,20.5,98.0
4.728,20.6,98.0
4.732,21.0,98.0
4.728,20.7,96.0
4.728,20.9,98.0
4.728,20.6,98.0
4.728,20.8,98.0
4.728,20.9,98.0
4.728,20.9,98.0
4.728,20.9,98.0
4.728,20.6,98.0
4.732,21.0,98.0
4.732,20.9,98.0
4.728,20.7,98.0
4.728,20.8,96.0
4.728,20.8,98.0
4.732,21.0,98.0
4.728,20.8,98.0
4.724,20.9,98.0
4.732,21.0,98.0
4.728,20.6,98.0
4.728,20.8,98.0
4.732,20.8,98.0
4.728,20.8,98.0
4.728,20.8,98.0
4.728,20.7,98.0
4.728,21.0,98.0
4.732,20.6,98.0
4.728,20.8,98.0
4.728,20.7,98.0
