Bus Voltage (V),Current (mA),Power (mW)
4.72,46.5,220.0
4.704,46.5,220.0
4.704,46.3,220.0
4.696,45.9,216.0
4.7,46.3,220.0
4.7,46.3,216.0
4.696,46.6,220.0
4.696,46.8,220.0
4.7,47.3,222.0
4.696,46.0,216.0
4.704,46.6,220.0
4.7,46.4,216.0
4.708,45.9,216.0
4.708,46.4,220.0
4.696,47.4,222.0
4.704,46.5,220.0
4.7,47.4,222.0
4.708,46.2,216.0
4.704,46.2,216.0
4.712,46.8,220.0
4.708,45.6,212.0
4.712,46.2,216.0
4.704,47.9,226.0
4.712,46.4,220.0
4.708,46.8,222.0
4.712,47.2,220.0
4.712,45.9,216.0
4.708,46.2,216.0
4.708,46.5,220.0
4.708,45.9,216.0
4.712,47.4,222.0
4.708,47.3,220.0
4.712,46.5,222.0
4.712,46.4,220.0
4.712,46.3,220.0
4.712,45.9,216.0
4.716,46.2,216.0
4.716,46.3,220.0
4.716,46.5,220.0
4.712,47.3,220.0
4.704,47.2,222.0
4.712,46.3,220.0
4.712,46.5,220.0
4.712,46.3,220.0
4.708,45.7,216.0
4.72,46.7,220.0
4.708,46.9,222.0
4.712,46.7,220.0
4.696,48.1,226.0
4.712,48.0,226.0
4.676,67.7,314.0
4.716,47.7,226.0
4.712,47.3,266.0
4.708,47.4,222.0
4.712,48.6,230.0
4.66,68.8,322.0
4.712,47.9,226.0
4.704,67.9,318.0
4.708,46.9,222.0
4.712,46.8,222.0
4.676,47.8,226.0
4.708,47.2,222.0
4.668,69.0,322.0
4.704,48.1,226.0
4.712,67.1,314.0
4.704,47.8,222.0
4.716,47.7,226.0
4.664,68.0,318.0
4.708,47.5,222.0
4.704,68.4,318.0
4.708,47.9,226.0
4.712,48.6,226.0
4.696,48.3,230.0
4.712,47.5,222.0
4.664,68.1,318.0
4.716,47.6,226.0
4.704,67.7,314.0
4.716,47.6,222.0
4.708,47.9,230.0
4.672,57.7,222.0
4.708,48.4,230.0
4.66,68.5,322.0
4.708,47.1,222.0
4.712,54.3,252.0
4.708,47.5,222.0
4.704,47.4,220.0
4.668,67.7,230.0
4.708,48.0,226.0
4.672,67.6,314.0
4.704,48.2,226.0
4.712,47.6,222.0
4.68,47.3,222.0
4.72,47.6,226.0
4.664,67.7,314.0
4.712,47.9,226.0
4.708,68.7,322.0
4.708,47.9,226.0
4.708,47.6,222.0
4.668,47.9,226.0
4.712,47.1,220.0
4.664,67.5,314.0
4.716,48.0,226.0
4.708,55.0,256.0
4.712,48.1,226.0
4.712,48.7,230.0
4.672,67.9,246.0
4.712,47.5,222.0
4.676,66.9,312.0
4.712,47.1,222.0
4.716,47.3,222.0
4.672,48.2,226.0
4.704,47.4,222.0
4.672,67.8,322.0
4.708,48.3,222.0
4.712,66.4,312.0
4.712,47.8,226.0
4.712,47.6,226.0
4.672,47.3,222.0
4.716,48.1,230.0
4.668,68.9,314.0
4.716,47.6,222.0
4.708,48.8,230.0
4.708,47.6,222.0
4.712,46.8,220.0
4.664,68.4,322.0
4.712,47.1,222.0
4.708,63.9,318.0
4.712,48.8,230.0
4.708,47.5,222.0
4.684,48.1,226.0
4.708,47.7,226.0
4.668,67.3,314.0
4.708,47.5,222.0
4.716,47.9,318.0
4.708,47.4,222.0
4.708,48.5,230.0
4.668,48.5,230.0
4.708,47.9,226.0
4.692,67.7,318.0
4.712,47.8,226.0
4.712,47.2,222.0
4.708,47.3,222.0
4.716,48.1,226.0
4.664,67.9,318.0
4.712,48.0,226.0
4.708,52.9,318.0
4.72,47.0,222.0
4.712,47.8,226.0
4.668,50.2,236.0
4.708,47.1,222.0
4.676,69.0,322.0
4.712,48.1,226.0
4.704,47.1,314.0
4.712,49.0,230.0
4.708,47.6,222.0
4.672,67.7,318.0
4.712,48.2,226.0
4.712,68.0,318.0
4.712,47.5,222.0
4.712,48.9,230.0
4.676,47.8,226.0
4.708,48.5,230.0
4.668,67.8,318.0
4.712,47.6,222.0
4.712,67.3,314.0
4.708,47.7,226.0
4.712,47.2,226.0
4.66,69.1,226.0
4.712,48.5,230.0
4.664,68.9,322.0
4.712,47.5,222.0
4.712,47.7,222.0
4.708,47.1,222.0
