Bus Voltage (V),Current (mA),Power (mW)
4.684,46.1,216.0
4.688,46.2,216.0
4.684,45.7,212.0
4.688,46.3,216.0
4.684,46.4,216.0
4.688,46.3,216.0
4.688,46.7,220.0
4.688,46.1,212.0
4.688,46.6,216.0
4.692,46.5,216.0
4.688,46.2,216.0
4.688,46.6,220.0
4.688,46.0,216.0
4.684,46.3,216.0
4.688,46.8,220.0
4.684,45.8,216.0
4.696,46.6,220.0
4.684,46.4,216.0
4.696,46.3,216.0
4.688,46.9,220.0
4.688,46.0,216.0
4.692,46.9,220.0
4.684,46.5,220.0
4.692,46.1,216.0
4.688,47.1,220.0
4.688,45.8,216.0
4.688,46.3,216.0
4.692,46.5,220.0
4.688,46.3,216.0
4.692,46.8,220.0
4.688,46.6,220.0
4.688,46.3,216.0
4.692,46.6,220.0
4.688,45.9,216.0
4.696,46.5,220.0
4.692,46.4,216.0
4.692,46.1,216.0
4.688,46.9,220.0
4.692,45.9,216.0
4.688,46.3,216.0
4.696,46.5,216.0
4.688,45.9,216.0
4.688,46.5,216.0
4.692,46.4,216.0
4.688,46.5,216.0
4.692,47.0,220.0
4.644,64.2,298.0
4.692,47.8,222.0
4.684,47.4,222.0
4.648,64.2,298.0
4.684,47.9,226.0
4.692,46.9,220.0
4.648,63.9,298.0
4.636,52.8,250.0
4.688,46.9,220.0
4.644,64.4,298.0
4.648,64.5,302.0
4.688,47.6,222.0
4.652,64.7,302.0
4.644,64.2,298.0
4.688,48.0,222.0
4.68,64.6,302.0
4.644,63.8,294.0
4.688,48.0,226.0
4.66,63.7,294.0
4.644,64.0,298.0
4.684,47.9,226.0
4.688,47.2,220.0
4.644,64.6,304.0
4.688,47.7,222.0
4.684,47.3,220.0
4.652,64.4,298.0
4.684,47.2,222.0
4.684,47.6,222.0
4.648,65.0,302.0
4.644,47.1,220.0
4.692,47.9,226.0
4.64,64.7,302.0
4.648,64.1,222.0
4.688,47.3,226.0
4.648,64.0,298.0
4.648,57.5,222.0
4.692,47.4,222.0
4.644,63.7,294.0
4.644,64.7,302.0
4.692,47.3,222.0
4.648,64.0,298.0
4.648,64.5,302.0
4.688,47.1,220.0
4.688,62.8,298.0
4.644,64.0,298.0
4.696,47.3,222.0
4.688,56.7,262.0
4.652,64.4,298.0
4.688,47.8,222.0
4.684,47.3,222.0
4.648,63.7,294.0
4.684,48.2,226.0
4.692,46.9,220.0
4.64,64.4,298.0
4.688,47.7,226.0
4.684,47.3,220.0
4.656,64.4,298.0
4.684,47.1,220.0
4.684,47.4,222.0
4.644,64.5,298.0
4.644,47.1,220.0
4.688,47.6,222.0
4.644,64.4,298.0
4.644,64.4,220.0
4.684,47.9,226.0
4.648,64.2,294.0
4.644,63.9,298.0
4.692,47.8,222.0
4.644,64.4,298.0
4.64,65.0,302.0
4.688,47.9,226.0
4.684,64.1,298.0
4.648,64.5,302.0
4.68,47.2,220.0
4.696,51.7,302.0
4.644,65.1,302.0
4.692,47.3,222.0
4.684,48.0,226.0
4.652,64.7,302.0
4.688,47.6,222.0
4.692,47.7,222.0
4.644,64.5,298.0
4.64,47.9,226.0
4.688,47.6,222.0
4.644,64.1,298.0
4.672,47.8,226.0
4.68,47.5,222.0
4.652,64.9,302.0
4.648,64.3,302.0
4.688,47.4,222.0
4.648,64.7,302.0
4.644,64.5,302.0
4.688,47.4,222.0
4.66,64.3,298.0
4.644,64.3,298.0
4.692,48.1,222.0
4.684,64.0,298.0
4.648,64.1,298.0
4.696,47.6,222.0
4.688,47.3,220.0
4.644,64.5,298.0
4.684,47.8,222.0
4.688,52.4,242.0
4.648,64.9,302.0
4.68,47.4,222.0
4.692,48.1,222.0
4.648,64.6,302.0
4.688,47.2,222.0
4.688,48.1,226.0
4.652,64.7,302.0
4.648,47.8,222.0
4.692,48.0,226.0
4.648,64.2,298.0
4.644,64.6,226.0
4.688,47.6,222.0
4.644,64.6,298.0
4.652,65.1,266.0
4.688,47.1,220.0
4.652,64.8,302.0
4.644,59.8,282.0
4.684,47.1,220.0
4.692,64.4,298.0
4.648,63.9,298.0
4.692,47.6,222.0
4.644,64.3,298.0
4.648,64.4,298.0
4.684,48.2,226.0
4.692,47.9,226.0
4.644,64.1,298.0
4.692,47.8,222.0
4.684,57.6,268.0
4.648,64.6,298.0
4.688,47.8,222.0
4.688,47.2,220.0
4.648,64.9,302.0
4.684,47.2,222.0
4.688,47.5,222.0
4.648,64.9,302.0
4.656,47.3,222.0
4.692,47.8,222.0
4.648,64.4,298.0
4.644,47.4,222.0
4.688,48.1,226.0
4.648,64.0,298.0
4.644,64.7,258.0
4.692,47.6,222.0
4.648,63.8,298.0
4.652,65.2,226.0
4.688,46.9,220.0
4.656,64.3,298.0
4.648,64.9,302.0
4.696,47.0,220.0
4.688,64.9,302.0
4.648,64.8,302.0
4.692,47.3,222.0
4.688,47.7,282.0
4.652,64.2,298.0
4.684,48.3,222.0
4.692,47.8,222.0
4.648,64.3,298.0
4.692,48.0,226.0
4.688,47.2,222.0
4.652,64.8,302.0
4.692,48.1,226.0
4.688,47.2,222.0
4.648,64.3,302.0
4.644,48.8,226.0
4.692,47.6,222.0
4.644,64.5,298.0
4.672,47.3,222.0
4.688,47.9,226.0
4.652,64.7,302.0
4.648,64.0,298.0
4.692,48.1,226.0
4.648,63.9,298.0
4.648,64.2,298.0
4.688,47.6,226.0
4.684,63.5,302.0
4.652,64.4,302.0
4.684,47.7,222.0
4.692,62.1,288.0
4.648,64.5,302.0
4.692,47.2,220.0
4.688,48.0,226.0
4.652,64.7,302.0
4.692,47.5,222.0
4.684,48.1,222.0
4.648,64.3,298.0
4.688,47.4,222.0
4.688,47.4,222.0
4.644,64.4,298.0
4.688,48.3,226.0
4.688,47.6,222.0
4.652,64.3,298.0
4.644,48.0,226.0
4.688,47.2,222.0
4.652,64.6,302.0
4.644,64.8,222.0
4.692,47.6,222.0
4.644,65.2,302.0
4.648,63.9,298.0
4.688,47.8,222.0
4.684,64.4,298.0
4.652,64.3,298.0
4.692,48.2,226.0
4.688,47.3,298.0
4.648,64.0,298.0
4.692,48.3,226.0
4.684,47.4,222.0
4.656,64.6,302.0
4.684,47.6,222.0
4.692,47.7,222.0
4.644,64.5,302.0
4.692,47.3,222.0
4.688,47.6,222.0
4.656,64.9,302.0
4.684,47.2,220.0
4.684,48.2,226.0
4.648,63.9,298.0
4.68,47.6,222.0
4.692,48.0,226.0
4.648,64.3,298.0
4.648,60.8,286.0
4.684,48.0,226.0
4.652,64.2,298.0
4.652,64.8,302.0
4.692,47.3,222.0
4.652,65.1,298.0
4.644,65.4,304.0
4.688,47.2,222.0
4.684,64.9,302.0
4.652,64.8,302.0
4.688,47.7,222.0
4.696,64.5,298.0
4.644,64.2,298.0
4.696,48.0,226.0
4.688,47.5,230.0
4.648,64.2,298.0
4.692,48.2,226.0
4.684,47.5,222.0
4.648,64.7,302.0
4.684,47.7,222.0
4.688,47.3,222.0
4.648,64.7,302.0
4.648,47.2,220.0
4.688,47.6,222.0
4.652,65.0,302.0
4.648,64.6,222.0
4.688,48.0,226.0
4.648,65.0,302.0
4.644,63.8,298.0
4.692,48.0,226.0
4.676,64.2,298.0
4.648,64.9,302.0
4.684,48.1,226.0
4.66,64.1,298.0
4.648,64.8,302.0
4.692,46.9,220.0
4.688,47.3,220.0
4.648,64.9,302.0
4.692,47.2,222.0
4.684,49.2,230.0
4.648,64.5,302.0
4.688,47.8,222.0
4.692,47.7,222.0
4.648,64.9,298.0
4.692,48.0,226.0
4.688,47.5,222.0
4.652,64.1,298.0
4.684,48.0,226.0
4.688,47.4,222.0
4.648,64.3,298.0
4.648,47.6,222.0
4.692,46.9,220.0
4.648,65.2,302.0
4.652,64.1,222.0
4.688,47.5,222.0
4.656,64.4,302.0
4.648,64.4,298.0
4.692,48.5,226.0
4.656,64.6,302.0
4.652,64.1,298.0
4.692,48.0,226.0
4.684,64.6,302.0
4.656,64.6,302.0
4.688,47.5,226.0
4.696,47.6,298.0
4.644,64.6,304.0
4.692,47.2,220.0
4.692,47.5,222.0
4.644,64.3,298.0
4.684,47.4,222.0
4.688,47.8,222.0
4.652,64.7,302.0
4.688,47.7,222.0
4.692,47.8,226.0
4.644,65.0,298.0
4.652,56.3,226.0
4.688,47.6,222.0
4.652,64.3,298.0
4.652,47.9,226.0
4.692,47.4,222.0
4.652,64.9,302.0
4.644,64.9,304.0
4.688,47.7,220.0
4.644,64.8,302.0
4.648,64.5,268.0
4.688,47.4,222.0
4.676,64.4,302.0
4.644,64.6,302.0
4.696,48.2,226.0
4.688,65.3,304.0
4.652,64.7,302.0
4.692,48.1,226.0
4.688,47.4,220.0
4.648,64.9,302.0
4.684,47.7,226.0
4.692,47.7,298.0
4.648,64.8,302.0
4.692,47.5,222.0
4.688,47.4,222.0
4.652,64.8,302.0
4.66,47.3,222.0
4.692,48.3,226.0
4.648,65.7,304.0
4.648,64.2,222.0
4.692,48.1,226.0
4.648,64.1,298.0
4.652,53.5,252.0
4.688,48.0,226.0
4.652,64.3,298.0
4.652,64.8,302.0
4.692,47.2,220.0
4.684,64.1,298.0
4.656,64.6,302.0
4.692,47.7,222.0
4.684,47.9,302.0
4.652,64.3,298.0
4.688,47.6,222.0
4.68,64.5,302.0
4.648,64.4,298.0
4.696,47.8,222.0
4.688,47.9,226.0
4.652,64.4,298.0
4.692,48.1,226.0
4.692,47.2,220.0
4.652,64.6,298.0
4.648,50.1,222.0
4.692,47.6,222.0
4.652,64.6,302.0
4.672,47.4,222.0
4.688,47.8,222.0
4.656,65.1,302.0
4.652,63.8,298.0
4.692,48.1,226.0
4.652,64.8,302.0
4.648,63.9,222.0
4.688,47.8,226.0
4.652,63.9,302.0
4.652,65.0,302.0
4.684,47.7,222.0
4.656,64.2,298.0
4.644,64.9,302.0
4.692,46.9,220.0
4.688,57.7,268.0
4.656,64.5,298.0
4.692,47.2,222.0
4.684,51.8,302.0
4.652,64.7,302.0
4.688,47.4,222.0
4.688,47.6,222.0
4.648,64.6,302.0
4.692,48.4,226.0
4.688,47.5,222.0
4.652,64.7,302.0
4.648,48.4,226.0
4.692,47.1,222.0
4.648,64.5,298.0
4.684,47.7,222.0
4.692,47.2,222.0
4.648,64.8,302.0
4.656,63.4,298.0
4.688,47.6,222.0
4.652,64.8,302.0
4.648,51.5,242.0
4.696,48.2,226.0
4.656,64.2,302.0
4.656,63.9,298.0
4.692,47.7,226.0
4.648,64.2,298.0
4.656,64.6,302.0
4.684,47.8,222.0
4.692,50.7,236.0
4.648,64.7,302.0
4.692,46.9,220.0
4.692,47.6,222.0
4.656,65.3,302.0
4.692,47.8,220.0
4.696,48.0,226.0
4.648,64.9,302.0
4.688,47.9,226.0
4.692,47.6,222.0
4.648,63.9,298.0
4.652,48.0,226.0
4.688,47.6,222.0
4.652,64.4,298.0
4.648,48.5,226.0
4.692,47.6,222.0
4.652,65.0,304.0
4.652,65.2,240.0
4.688,47.5,222.0
4.648,64.7,302.0
4.652,64.6,302.0
4.684,47.7,222.0
4.696,64.9,302.0
4.648,64.9,302.0
4.696,48.1,226.0
4.688,51.9,298.0
4.656,64.1,302.0
4.692,47.7,226.0
4.688,47.4,222.0
4.652,64.7,302.0
4.684,47.6,222.0
4.688,47.9,226.0
4.648,64.5,302.0
4.692,47.4,222.0
4.688,48.1,226.0
4.652,64.7,298.0
4.688,47.7,220.0
4.696,48.1,226.0
4.648,64.1,298.0
4.648,49.5,232.0
4.692,47.6,222.0
4.644,64.2,298.0
4.652,50.7,240.0
4.684,47.3,222.0
4.648,64.7,302.0
4.648,64.7,302.0
4.692,47.4,222.0
4.648,64.9,302.0
4.652,65.0,298.0
4.692,47.6,222.0
4.684,64.3,298.0
4.656,64.0,298.0
4.692,48.1,226.0
4.688,47.8,222.0
4.648,63.9,298.0
4.692,48.0,226.0
4.688,47.3,252.0
4.652,64.5,298.0
4.692,47.4,226.0
4.692,47.4,222.0
