Bus Voltage (V),Current (mA),Power (mW)
4.776,16.9,82.0
4.78,17.0,82.0
4.772,17.3,82.0
4.776,16.8,78.0
4.772,17.0,82.0
4.772,17.0,82.0
4.776,17.0,82.0
4.772,17.2,82.0
4.772,17.0,82.0
4.776,16.8,78.0
4.776,16.9,82.0
4.776,17.5,82.0
4.772,17.0,82.0
4.772,17.4,82.0
4.776,17.0,82.0
4.768,16.8,82.0
4.776,17.1,82.0
4.776,17.3,82.0
4.768,16.9,82.0
4.78,17.2,82.0
4.772,17.3,82.0
4.776,17.3,82.0
4.772,17.0,82.0
4.768,17.3,82.0
4.776,17.2,82.0
4.772,16.9,82.0
4.78,17.3,82.0
4.772,17.4,82.0
4.772,16.9,82.0
4.776,17.2,82.0
4.772,17.3,82.0
4.772,17.0,82.0
4.776,17.3,82.0
4.772,17.1,82.0
4.776,17.3,82.0
4.772,17.2,82.0
4.768,16.6,82.0
4.772,17.2,82.0
4.772,17.2,82.0
4.78,16.9,82.0
4.772,17.0,82.0
4.768,17.0,82.0
4.768,20.8,98.0
4.76,20.4,98.0
4.764,20.3,96.0
4.768,20.3,98.0
4.764,20.4,98.0
4.764,20.6,98.0
4.764,20.5,98.0
4.76,20.7,98.0
4.764,20.2,98.0
4.764,20.8,98.0
4.764,20.7,98.0
4.764,20.7,98.0
4.76,20.3,98.0
4.764,20.7,98.0
4.764,20.6,98.0
4.76,20.3,98.0
4.764,20.3,98.0
4.764,20.5,98.0
4.764,20.6,98.0
4.764,20.6,98.0
4.76,20.6,98.0
4.764,20.4,98.0
4.76,20.8,98.0
4.768,20.6,98.0
4.764,20.3,98.0
4.76,20.7,98.0
4.768,20.3,98.0
4.76,20.5,98.0
4.764,20.2,96.0
4.768,20.5,98.0
4.76,20.9,98.0
4.768,20.3,98.0
4.768,20.3,98.0
4.76,20.3,98.0
4.764,20.3,98.0
4.764,20.2,96.0
4.772,20.5,98.0
4.764,20.5,98.0
4.764,20.6,98.0
4.764,20.7,98.0
4.764,20.5,98.0
4.768,20.3,96.0
4.764,20.6,98.0
4.764,20.7,98.0
4.764,20.2,96.0
4.764,20.5,96.0
4.764,20.5,98.0
4.764,20.8,98.0
4.76,20.8,98.0
4.768,20.4,98.0
4.764,20.3,98.0
4.76,20.8,98.0
4.768,20.3,98.0
4.764,20.6,98.0
4.764,20.4,96.0
4.764,20.2,96.0
4.76,20.5,98.0
4.764,20.6,98.0
4.764,20.5,98.0
4.764,20.3,98.0
4.764,20.8,98.0
4.764,20.6,98.0
4.764,20.7,98.0
4.764,20.7,98.0
4.76,20.7,98.0
4.768,20.6,98.0
4.76,20.8,98.0
4.764,20.5,98.0
4.764,20.7,98.0
4.76,20.6,98.0
4.764,20.8,98.0
4.76,20.3,98.0
4.756,20.7,98.0
4.764,20.5,98.0
4.76,20.3,98.0
4.768,20.3,98.0
4.764,20.2,96.0
4.76,20.7,98.0
4.768,20.5,98.0
4.76,20.4,98.0
4.768,20.6,98.0
4.768,20.6,98.0
4.76,20.6,98.0
4.768,20.7,98.0
4.764,20.5,96.0
4.768,20.7,98.0
4.764,20.3,98.0
4.764,20.6,96.0
4.764,20.8,98.0
4.764,20.5,98.0
4.764,20.4,98.0
4.768,20.7,98.0
4.764,20.8,98.0
4.764,20.3,96.0
4.764,20.6,98.0
4.764,20.5,98.0
4.764,20.6,98.0
4.76,20.6,98.0
4.768,20.4,98.0
4.764,20.7,98.0
4.76,20.6,98.0
4.768,20.5,98.0
4.76,20.3,98.0
4.764,20.3,98.0
4.768,20.6,98.0
4.76,20.6,98.0
4.768,20.6,98.0
4.764,20.8,98.0
4.76,20.6,98.0
4.76,20.5,98.0
4.764,20.7,98.0
4.768,20.6,98.0
4.764,20.3,98.0
4.764,20.6,98.0
4.764,20.6,98.0
4.76,20.5,98.0
4.76,20.6,98.0
4.768,20.7,98.0
4.764,20.5,98.0
4.764,20.7,98.0
4.76,20.3,98.0
4.764,20.5,98.0
4.764,20.3,98.0
4.764,20.6,98.0
4.772,20.3,98.0
4.76,20.5,98.0
4.76,20.9,98.0
4.768,20.7,98.0
4.764,20.9,98.0
4.764,20.8,98.0
4.764,20.6,98.0
4.76,20.5,98.0
4.768,20.7,98.0
4.764,20.5,98.0
4.76,20.7,98.0
4.764,20.5,98.0
4.764,20.5,98.0
