Bus Voltage (V),Current (mA),Power (mW)
4.764,17.4,82.0
4.772,17.4,82.0
4.772,17.4,82.0
4.76,17.4,82.0
4.768,17.2,82.0
4.772,17.5,82.0
4.776,17.2,82.0
4.772,17.3,82.0
4.772,17.5,82.0
4.776,17.3,82.0
4.776,17.4,82.0
4.772,17.2,82.0
4.772,17.3,82.0
4.78,17.3,82.0
4.776,17.4,82.0
4.772,17.3,82.0
4.772,17.2,82.0
4.78,17.2,82.0
4.776,17.4,82.0
4.772,17.4,82.0
4.772,17.5,82.0
4.776,17.3,82.0
4.776,17.4,82.0
4.772,17.6,86.0
4.776,17.3,82.0
4.78,17.2,82.0
4.776,17.4,82.0
4.776,17.2,82.0
4.772,17.3,82.0
4.78,16.9,82.0
4.776,17.5,86.0
4.776,17.2,82.0
4.776,17.5,82.0
4.776,17.4,82.0
4.776,17.2,82.0
4.772,17.0,82.0
4.772,17.2,82.0
4.78,17.4,82.0
4.776,17.4,82.0
4.776,17.2,82.0
4.772,17.3,82.0
4.78,17.1,82.0
4.78,17.2,82.0
4.776,17.2,82.0
4.772,17.6,82.0
4.776,17.3,82.0
4.764,21.7,104.0
4.764,21.7,102.0
4.76,21.8,104.0
4.764,21.6,102.0
4.764,21.6,102.0
4.764,21.6,102.0
4.764,21.4,102.0
4.768,21.6,102.0
4.764,21.7,102.0
4.76,21.8,102.0
4.764,21.7,104.0
4.764,21.9,104.0
4.764,21.7,102.0
4.764,21.4,102.0
4.764,21.4,102.0
4.764,21.2,102.0
4.764,21.0,104.0
4.764,21.7,104.0
4.764,21.3,102.0
4.764,21.3,104.0
4.76,21.6,102.0
4.764,21.8,104.0
4.764,21.9,104.0
4.764,21.7,102.0
4.764,21.2,102.0
4.76,21.1,102.0
4.76,21.6,104.0
4.764,21.7,102.0
4.764,21.7,104.0
4.76,21.6,102.0
4.76,21.6,102.0
4.764,21.9,102.0
4.768,21.8,104.0
4.764,21.6,102.0
4.764,21.3,104.0
4.768,21.7,104.0
4.768,21.7,104.0
4.764,21.6,104.0
4.76,21.7,102.0
4.764,21.6,102.0
4.764,21.8,104.0
4.76,21.4,102.0
4.764,21.6,102.0
4.764,21.3,102.0
4.768,20.9,98.0
4.768,21.3,102.0
4.768,21.6,102.0
4.764,21.6,102.0
4.764,21.7,102.0
4.76,21.5,104.0
4.764,21.8,104.0
4.764,21.5,102.0
4.764,21.4,102.0
4.76,21.5,102.0
4.764,21.8,104.0
4.768,21.5,104.0
4.764,21.9,102.0
4.76,21.7,104.0
4.764,21.9,104.0
4.768,21.6,102.0
4.768,21.6,102.0
4.764,21.3,102.0
4.764,21.7,104.0
4.764,20.8,102.0
4.768,21.6,102.0
4.764,21.7,104.0
4.764,21.8,104.0
4.768,21.4,104.0
4.768,21.7,104.0
4.764,21.7,104.0
4.764,21.4,102.0
4.768,21.6,102.0
4.768,21.1,102.0
4.76,21.5,102.0
4.764,21.9,102.0
4.768,21.6,102.0
4.768,21.8,104.0
4.76,21.7,104.0
4.76,21.5,104.0
4.768,21.4,102.0
4.764,21.6,102.0
4.764,21.5,102.0
4.764,21.5,102.0
4.768,21.5,102.0
4.764,21.5,102.0
4.764,21.4,102.0
4.76,21.4,102.0
4.764,21.7,104.0
4.768,21.3,104.0
4.764,21.7,102.0
4.764,21.3,102.0
4.764,21.5,102.0
4.768,21.2,102.0
4.764,21.7,104.0
4.764,21.8,104.0
4.764,21.6,102.0
4.764,21.8,102.0
