Bus Voltage (V),Current (mA),Power (mW)
4.736,47.5,226.0
4.732,47.9,226.0
4.736,47.2,222.0
4.728,47.3,222.0
4.736,47.4,226.0
4.732,47.2,226.0
4.736,47.4,222.0
4.732,47.6,226.0
4.732,47.7,226.0
4.732,47.3,222.0
4.732,47.9,226.0
4.732,47.6,222.0
4.732,47.2,222.0
4.736,47.8,226.0
4.732,47.4,222.0
4.736,47.3,222.0
4.736,47.9,226.0
4.732,47.7,226.0
4.732,47.1,222.0
4.736,47.8,226.0
4.736,47.6,226.0
4.732,47.1,222.0
4.736,47.9,226.0
4.736,47.6,226.0
4.732,47.2,222.0
4.736,48.1,226.0
4.732,47.5,226.0
4.736,47.2,222.0
4.736,48.1,226.0
4.732,47.8,226.0
4.732,47.1,222.0
4.732,48.1,226.0
4.732,47.7,226.0
4.736,47.3,222.0
4.736,47.5,226.0
4.736,48.0,226.0
4.736,47.2,222.0
4.736,47.6,226.0
4.736,47.6,226.0
4.736,47.2,222.0
4.732,47.7,226.0
4.732,48.0,226.0
4.736,47.2,222.0
4.732,47.7,226.0
4.732,48.1,230.0
4.736,47.3,222.0
4.7,69.2,324.0
4.7,61.4,288.0
4.696,69.4,324.0
4.712,66.9,324.0
4.696,69.9,328.0
4.696,69.2,324.0
4.696,69.0,324.0
4.696,70.0,328.0
4.7,61.9,292.0
4.7,69.3,324.0
4.712,68.3,328.0
4.7,69.4,328.0
4.696,69.2,324.0
4.7,69.4,324.0
4.696,69.9,328.0
4.696,69.1,294.0
4.7,69.7,328.0
4.712,67.5,318.0
4.696,69.5,328.0
4.7,69.7,328.0
4.696,69.2,324.0
4.7,69.2,324.0
4.696,69.6,304.0
4.7,69.9,328.0
4.708,65.3,308.0
4.696,70.0,328.0
4.704,69.9,328.0
4.696,69.3,324.0
4.696,69.8,330.0
4.696,69.3,324.0
4.696,69.2,324.0
4.7,66.2,312.0
4.7,69.9,328.0
4.704,69.6,328.0
4.7,69.8,324.0
4.7,70.1,328.0
4.696,69.0,324.0
4.7,69.8,328.0
4.696,64.8,304.0
4.7,69.1,324.0
4.704,68.0,324.0
4.696,69.9,328.0
4.692,69.3,324.0
