timestamp_ms,accX,accY,accZ,gyroX,gyroY,gyroZ
806,0.179,-0.014,1.015,-3.586,1.251,-0.885
826,0.185,-0.004,1.019,-3.937,0.122,-0.473
846,0.197,0.008,1.023,-3.906,-1.297,-1.984
866,0.171,0.015,1.003,-3.281,-2.09,-3.281
886,0.159,0.004,0.995,-2.625,-0.595,-2.67
906,0.167,0.003,1.006,-2.579,-0.214,-2.106
926,0.191,0.004,1.03,-1.862,0.092,-2.457
946,0.188,-0.003,1.022,-1.816,-2.304,-2.823
966,0.187,0.006,1.004,-3.189,-3.586,-4.745
986,0.18,0.012,1.006,-2.747,-3.51,-4.166
1006,0.168,0.009,0.997,-2.487,-3.448,-2.487
1026,0.158,0.005,0.997,-1.114,-7.37,-0.107
1046,0.175,-0.006,1.007,-2.38,1.617,-1.022
1066,0.202,-0.058,1.017,-1.984,-0.275,-7.599
1086,0.231,-0.029,1.012,-4.227,3.281,-14.664
1106,0.125,-0.012,1.001,-3.036,2.167,-8.713
1126,0.174,0.027,1,-3.159,0.641,-3.387
1146,0.108,0,0.986,-2.35,2.045,-4.227
1166,0.209,-0.009,1.002,-4.242,5.63,-11.215
1186,0.153,-0.011,1,-5.081,4.12,-8.728
1206,0.168,-0.006,1.009,-4.639,5.234,-7.248
1226,0.072,0.023,1.012,-2.686,-3.296,3.128
1246,0.207,-0.053,0.961,-4.837,6.104,-11.475
1266,0.141,-0.041,1.015,-8.255,4.089,-7.08
1286,0.132,0.116,1.058,-5.997,-6.21,8.24
1306,0.272,-0.005,1.015,-2.106,1.923,-7.645
1326,0.136,0.048,1.011,-1.205,-8.118,3.647
1346,0.116,-0.109,0.952,-0.137,-1.099,-5.432
1366,0.157,0.045,1.06,-1.343,-15.457,0.229
1386,0.23,0.04,1.079,-1.419,-21.088,3.479
1406,0.255,0.03,0.949,-2.228,-17.319,-0.153
1426,0.278,-0.013,0.956,-2.96,-21.103,-5.157
1446,0.234,0.02,0.902,-4.684,-25.757,-3.082
1466,0.211,-0.134,1.02,-1.816,-12.344,-3.922
1486,0.167,-0.11,0.985,-2.96,-7.629,4.379
1506,0.057,0.06,0.93,-2.884,-10.33,6.836
1526,0.265,0.136,0.968,-1.678,-3.86,-3.662
1546,0.286,0.014,1.001,-3.601,-7.217,0.626
1566,0.281,-0.04,1.082,-1.923,-5.966,-8.911
1586,0.234,-0.012,0.929,-5.188,-13.458,-7.034
1606,0.094,0.045,0.937,-5.966,-17.059,2.06
1626,0.285,-0.004,0.988,-3.586,1.251,-3.433
1646,0.214,0.021,0.968,-2.869,5.264,-3.799
1666,0.219,0.109,1.032,-5.066,-7.355,9.827
1686,0.307,0.042,0.999,-1.831,1.343,2.563
1706,0.27,0.026,1.022,-1.663,-3.998,6.668
1726,0.239,0.021,1.002,-1.19,-8.438,10.361
1746,0.227,0.009,0.979,-0.031,-8.331,10.147
1766,0.19,0.022,0.942,-0.961,-2.563,14.832
1786,0.172,0.072,0.922,-2.319,6.973,19.028
1806,0.175,0.04,0.972,-4.883,21.255,26.611
1826,0.284,-0.069,0.981,-0.58,24.765,15.091
1846,0.308,-0.122,1.041,-2.426,15.594,12.955
1866,0.384,-0.12,1.091,-2.243,7.828,1.312
1886,0.307,-0.014,1.057,-4.196,-5.356,0.214
1906,0.265,0.058,1.012,-3.799,-10.712,-1.724
1926,0.201,0.043,0.974,-2.762,-10.04,-0.32
1946,0.201,0.005,0.978,-1.846,-7.339,1.144
1966,0.237,-0.013,0.996,-1.556,-6.073,2.441
1986,0.274,-0.004,1.021,-1.465,-8.011,2.304
2006,0.281,-0.07,1.003,-0.946,-20.996,6.516
2026,0.137,0.045,0.943,-3.479,-22.537,15.045
2046,0.235,0.079,0.997,3.052,-7.828,5.936
2066,0.348,0.045,1.002,0.9,-11.124,5.814
2086,0.295,0.015,1.02,0.793,-19.073,7.889
2106,0.272,-0.06,0.971,-0.061,-24.185,8.362
2126,0.227,-0.063,0.919,-4.318,-19.241,5.051
2146,0.188,-0.031,0.934,-8.362,-16.846,5.646
2166,0.179,0.014,1.026,-4.974,-20.401,1.541
2186,0.374,0.035,1.002,-2.457,-9.827,-0.061
2206,0.405,0.07,1.027,-3.555,-22.705,-3.342
2226,0.283,0.019,0.953,-4.41,-28.702,2.06
2246,0.403,-0.007,1.054,-6.256,-24.948,10.849
2266,0.151,0.074,0.908,-1.114,-30.38,5.524
2286,0.48,-0.061,0.953,0.885,-15.579,-3.326
2306,0.438,-0.145,0.955,-2.167,-16.541,-7.065
2326,0.492,0.028,1.054,-7.034,-20.996,-7.95
2346,0.217,-0.006,0.901,-8.926,-18.646,5.524
2366,0.249,0.061,1.016,-6.577,-13.474,0.977
2386,0.37,0.035,0.949,-5.127,-7.248,2.289
2406,0.339,-0.054,0.921,-5.142,-13.733,3.815
2426,0.458,-0.085,0.886,-3.311,-9.537,2.792
2446,0.265,0.062,0.85,-7.034,-6.073,10.437
2466,0.305,0.012,0.943,-2.716,-2.304,6.226
2486,0.533,-0.138,1.009,-1.022,-0.366,2.975
2506,0.446,0.035,0.918,-6.668,-2.716,0.488
2526,0.346,-0.089,0.952,-7.568,-1.419,-0.107
2546,0.321,-0.022,0.883,-7.401,-1.266,-1.45
2566,0.435,0.01,0.994,-5.249,3.235,3.586
2586,0.555,-0.022,0.979,-6.927,0.275,5.905
2606,0.459,-0.115,0.961,-8.667,-8.133,2.701
2626,0.296,0.004,0.944,-13.199,-1.083,-0.153
2646,0.255,-0.07,0.883,-12.604,7.965,-5.219
2666,0.392,0.017,0.988,-9.872,19.028,-0.381
2764,0.406,0,0.997,-5.6,11.871,-16.144
2765,0.406,0,0.997,-5.6,11.871,-16.144
2766,0.293,0,1.056,-4.669,18.646,-12.848
2766,0.293,0,1.056,-4.669,18.646,-12.848
2767,0.293,0,1.056,-4.669,18.646,-12.848
2786,0.608,-0.097,1.113,-4.501,18.494,-10.757
2806,0.438,-0.133,1.005,-2.441,4.883,-24.734
2826,0.536,-0.177,0.962,-3.586,10.239,-15.335
2846,0.444,-0.014,1.005,-5.753,0.519,-16.22
2866,0.45,0.098,0.88,-4.944,5.341,-1.862
2886,0.29,-0.086,0.979,-5.31,-4.761,-16.571
2906,0.364,0.011,0.909,-5.219,3.998,-6.042
2926,0.321,0.005,0.906,-0.977,20.004,2.274
2946,0.346,-0.036,1.019,-2.411,15.61,-6.912
2966,0.522,-0.004,1.061,-3.021,5.554,-2.304
2986,0.422,-0.101,0.998,-3.754,-11.49,-2.96
3006,0.369,-0.022,0.97,-3.845,-14.236,-8.499
3026,0.339,0.046,0.918,-3.006,-10.208,4.623
3046,0.291,-0.037,0.961,-1.678,-7.69,3.098
3066,0.335,-0.059,0.986,-1.968,-9.201,2.441
3086,0.301,0.217,0.853,-2.93,-10.605,2.869
3106,0.544,0.055,0.978,5.051,-3.357,28.625
3126,0.251,-0.109,0.887,8.804,-8.118,18.875
3146,0.296,-0.163,0.954,8.591,-6.638,-0.214
3166,0.583,-0.216,1.101,3.357,8.179,9.171
3186,0.436,0.093,0.988,-2.991,3.25,17.288
3206,0.367,0.069,0.924,-0.61,-2.731,19.806
3226,0.329,0.005,0.947,3.433,5.63,19.531
3246,0.352,-0.036,0.932,4.913,12.695,27.115
3266,0.242,-0.088,0.975,6.287,27.847,32.059
3286,0.246,-0.1,0.971,4.089,18.021,31.693
3306,0.338,-0.107,1.009,4.028,19.394,21.21
3326,0.389,-0.132,1.082,5.615,36.118,14.832
3346,0.358,-0.118,1.025,0.198,5.859,10.559
3366,0.311,-0.109,0.964,0.549,4.517,2.701
3386,0.307,-0.08,0.943,-0.031,-2.487,4.822
3406,0.281,0.01,0.941,0.656,-4.242,8.362
3426,0.275,0.005,0.942,3.967,-0.9,11.566
3446,0.297,-0.022,0.953,6.592,2.06,13.504
3466,0.32,-0.046,0.982,7.523,3.067,15.091
3486,0.337,-0.051,1.009,7.065,1.892,15.945
3506,0.32,-0.047,1.006,7.553,-0.229,15.945
3526,0.324,-0.023,0.999,7.309,-1.251,17.563
3546,0.309,-0.012,0.981,7.874,-2.243,19.073
3566,0.282,-0.016,0.982,8.728,-2.121,21.072
3586,0.274,-0.035,0.984,8.911,-0.61,23.178
