timestamp_ms,accX,accY,accZ,gyroX,gyroY,gyroZ,label
243869,-0.349,-0.283,0.876,22.552,19.806,8.987,jalan
57987,0.15,0.16,-0.05,2.38,-13.031,-26.932,jogging
200729,0.427,-0.157,1.068,-0.244,-11.444,18.494,jalan
203826,0.362,0.0,0.951,-10.559,3.937,-13.718,diam
171309,0.166,0.06,1.111,-35.385,-24.216,-16.464,jalan
45426,0.373,-0.027,0.962,-2.853,-1.709,-0.488,diam
269947,-0.689,-0.88,0.991,-10.62,-101.196,-77.698,jogging
269026,0.255,-0.192,0.979,-3.296,0.29,-0.015,diam
256769,0.555,0.231,1.064,-19.73,16.937,33.585,jalan
106466,0.275,-0.012,0.99,1.907,2.823,1.114,diam
19606,0.382,-0.024,0.963,-0.931,5.264,2.853,diam
129046,0.339,-0.042,0.967,0.244,1.129,5.188,diam
117946,0.328,-0.026,0.979,-2.869,1.205,2.426,diam
233847,-0.755,0.524,1.288,54.871,-92.148,36.057,jogging
4869,0.145,-0.037,1.03,-4.837,-11.246,4.944,jalan
93266,0.234,-0.133,0.979,-1.068,-7.446,-26.413,diam
243747,0.248,-0.199,0.134,25.772,14.297,5.035,jogging
251187,-0.082,-0.239,0.322,8.347,-120.575,1.053,jogging
218627,-0.108,-0.203,0.141,41.168,-114.548,15.991,jogging
43229,0.292,-0.122,0.79,-17.41,15.213,11.032,jalan
127966,0.36,-0.039,0.972,-3.174,3.418,1.007,diam
271146,0.256,-0.191,0.975,-3.25,0.534,-0.061,diam
62650,0.34,-0.017,0.96,-3.036,0.29,-2.396,diam
251426,0.389,-0.061,1.031,-2.67,8.163,-15.091,diam
201426,0.339,-0.067,0.965,-1.938,2.594,-0.9,diam
15766,0.411,-0.017,0.944,-2.319,-1.205,2.075,diam
276669,0.221,0.045,0.98,16.022,-17.212,-12.787,jalan
120449,-0.162,0.424,0.851,-13.29,-14.511,8.438,jalan
152126,0.325,-0.019,0.979,-2.09,0.824,-1.572,diam
201187,3.838,0.845,4.0,-130.432,319.687,17.929,jogging
178229,0.483,0.017,1.032,-20.981,14.435,-39.871,jalan
272406,0.27,-0.196,0.974,-3.128,0.107,-0.107,diam
225906,0.325,-0.135,0.964,-4.593,-0.732,-1.984,diam
7489,0.118,0.0,1.019,-2.426,-11.169,3.51,jalan
77487,0.197,0.097,0.196,-5.798,-10.91,22.293,jogging
121667,3.546,0.974,3.64,73.09,184.464,-148.254,jogging
52949,0.37,-0.208,1.401,-49.271,0.351,21.286,jalan
77987,1.338,0.797,2.73,75.058,-49.683,-46.539,jogging
116926,0.315,-0.028,0.981,-3.998,3.326,2.991,diam
274846,0.263,-0.194,0.98,-2.777,0.839,0.015,diam
135129,0.374,0.131,1.093,-17.532,4.532,29.572,jalan
216146,0.316,-0.145,0.964,8.194,0.809,40.237,diam
297866,0.318,-0.08,0.976,-3.876,2.838,-8.453,diam
52847,0.048,0.057,0.036,-34.058,-43.533,43.106,jogging
18886,0.253,-0.05,0.072,-3.326,-23.636,34.805,jogging
247086,0.303,-0.072,0.972,-8.667,-1.953,-1.068,diam
130446,0.332,-0.049,0.972,-3.296,0.778,-1.617,diam
50286,0.339,-0.044,0.96,-1.022,0.977,0.839,diam
49646,0.37,-0.061,0.959,-2.96,-0.122,-4.12,diam
141707,-0.096,-0.683,0.69,43.243,-133.224,-9.216,jogging
206246,0.351,-0.057,0.979,-4.044,-0.793,-5.447,diam
1926,0.201,0.043,0.974,-2.762,-10.04,-0.32,diam
42946,0.324,-0.027,0.97,-2.701,0.275,0.198,diam
291066,0.287,-0.199,0.961,-3.357,0.0,-0.137,diam
278266,0.258,-0.186,0.98,-2.96,0.641,-0.58,diam
99269,-0.436,-0.014,1.009,0.916,-23.56,23.773,jalan
189006,0.342,-0.01,0.966,-2.502,2.426,0.549,diam
274789,0.193,-0.167,0.865,-17.67,0.504,35.934,jalan
85526,0.28,-0.049,0.986,-7.095,0.183,-12.344,diam
51067,0.13,-0.062,0.205,37.476,-53.925,12.589,jogging
194147,0.155,-0.226,0.76,-53.955,-44.556,48.767,jogging
229486,0.321,0.032,0.973,-5.127,-1.678,-4.593,diam
105726,0.315,-0.035,0.977,0.412,3.265,-0.122,diam
79107,-0.103,0.218,0.344,-28.976,-6.958,-17.776,jogging
248049,0.23,-0.008,0.933,13.275,2.365,-8.286,jalan
176609,0.389,-0.167,1.224,17.99,34.714,9.705,jalan
85567,1.353,0.912,2.468,-73.593,239.517,-9.171,jogging
171129,0.007,-0.017,0.869,-2.914,-21.576,1.511,jalan
32469,0.042,-0.043,0.692,-27.466,5.524,-0.916,jalan
103966,0.339,-0.083,0.989,0.565,0.793,9.079,diam
28567,1.797,0.078,2.766,-53.024,151.001,-59.586,jogging
6029,0.086,-0.055,1.0,-0.366,16.449,-11.612,jalan
218566,0.348,-0.063,0.984,3.464,7.248,10.239,diam
99966,0.248,0.017,0.994,-13.29,-6.149,7.751,diam
37729,0.084,-0.2,1.083,20.874,-4.562,-15.457,jalan
225587,0.609,0.009,1.589,-57.251,-61.752,33.234,jogging
236747,0.171,0.08,-0.049,32.425,1.404,25.528,jogging
115189,0.298,-0.205,0.968,-12.589,-1.968,6.424,jalan
188846,0.352,-0.013,0.97,-2.396,1.221,0.732,diam
286706,0.271,-0.186,0.971,-3.098,0.427,-0.107,diam
284987,0.181,-0.171,0.131,55.603,-50.69,-14.374,jogging
65506,0.321,-0.033,0.974,-2.899,-2.975,-1.846,diam
1767,0.23,0.239,0.925,-6.073,35.233,26.657,jogging
221809,0.326,-0.14,1.005,-1.678,-2.93,-77.927,jalan
137546,0.358,-0.03,0.959,-3.128,0.565,-0.198,diam
156947,0.404,0.196,0.428,-12.283,0.214,37.888,jogging
164469,0.294,0.045,1.019,-22.568,8.347,40.833,jalan
203086,0.366,0.005,0.937,-4.12,-4.837,-7.309,diam
282986,0.271,-0.193,0.972,-3.006,0.778,-0.61,diam
290009,0.406,0.063,0.957,-8.484,8.362,-4.73,jalan
242650,0.299,-0.032,0.982,-2.899,0.168,0.29,diam
240947,0.406,-0.193,-0.012,-9.857,4.135,10.605,jogging
150066,0.337,-0.02,0.966,-2.258,-0.137,3.769,diam
162586,0.33,-0.027,0.971,-3.128,-1.389,0.961,diam
264307,-0.274,0.48,1.548,-94.406,139.496,36.469,jogging
23386,0.378,-0.016,0.956,-3.052,0.381,-0.519,diam
4786,0.316,0.003,0.946,-13.184,-4.73,-4.135,diam
5307,0.441,0.618,0.921,55.557,-73.441,-55.984,jogging
299247,0.468,-0.044,1.621,-87.234,-27.084,105.637,jogging
48147,0.615,-0.242,1.485,-87.067,27.817,18.173,jogging
188866,0.35,-0.01,0.967,-2.655,1.16,0.748,diam
230169,0.267,-0.031,1.157,17.197,18.066,-4.196,jalan
37906,0.341,-0.022,0.966,-3.128,0.427,-0.031,diam
242346,0.298,-0.03,0.982,-3.494,-0.229,-0.412,diam
117069,0.294,-0.048,0.934,-19.394,-19.012,-25.726,jalan
247427,0.812,0.249,2.169,-77.866,-11.139,94.986,jogging
22289,0.532,0.01,0.92,-0.046,3.54,27.786,jalan
196647,4.0,1.158,4.0,94.574,51.422,-265.793,jogging
273609,0.405,-0.046,0.855,6.18,-7.065,14.114,jalan
153466,0.329,0.005,0.962,-1.572,-0.397,-1.129,diam
149969,0.251,-0.005,0.886,-5.234,-2.686,-34.698,jalan
108886,0.307,-0.03,0.972,-5.981,-2.365,1.266,diam
237066,0.316,-0.025,0.975,-2.869,0.305,-0.092,diam
66246,0.292,0.019,0.946,-5.02,-1.907,-5.249,diam
108406,0.293,-0.018,0.984,-3.693,1.038,1.022,diam
